date,Q_i,Q_C,Q_L,T_i,T_C,T_L
1978-05-25,2103.827954117663,1010.2328948360314,3114.0608489536944,,,
1978-05-26,1461.2591440267574,807.5398230906353,2268.7989671173927,,,
1978-05-27,1039.2284788990094,580.4439639414079,1619.6724428404173,,,
1978-05-28,978.1389735914615,572.7090299903402,1550.8480035818018,,,
1978-05-29,799.1574551866653,537.7730992961826,1336.930554482848,,,
1978-05-30,740.9618600076715,468.3148878080919,1209.2767478157634,,,
1978-05-31,1035.5808304953578,525.7237588381521,1561.3045893335097,,,
1978-06-01,1380.0990038244533,609.4529124996599,1989.5519163241133,,,
1978-06-02,1105.0635604953582,436.31487,1541.378430495358,,,
1978-06-03,1182.2061598524417,535.3668787571078,1717.5730386095495,,,
1978-06-04,1122.32495856236,599.8923265796333,1722.2172851419932,,,
1978-06-05,853.952050495358,426.3269876424935,1280.2790381378516,,,
1978-06-06,739.338100495358,360.33895000000007,1099.6770504953581,,,
1978-06-07,600.0099304953579,444.7778700000001,1044.7878004953582,,,
1978-06-08,2033.1618881762263,636.0334739077477,2669.195362083974,,,
1978-06-09,1786.0387941183485,918.1155475857936,2704.154341704142,,,
1978-06-10,1211.0618844545545,678.4993196341208,1889.5612040886754,,,
1978-06-11,866.963460495358,506.1280581518832,1373.0915186472412,,,
1978-06-12,765.4012604953579,402.37839156947615,1167.779652064834,,,
1978-06-13,1049.4372847300265,564.2988325035178,1613.7361172335443,,,
1978-06-14,765.1009004953581,398.0291273020906,1163.1300277974487,,,
1978-06-15,654.2570604953581,339.42644999999993,993.6835104953581,,,
1978-06-16,586.359410495358,570.5428937035999,1156.902304198958,,,
1978-06-17,624.9255304953581,318.7374246915999,943.662955186958,,,
1978-06-18,508.01823049535807,550.5378037035999,1058.556034198958,,,
1978-06-19,433.1807504953581,188.99826469160007,622.1790151869582,,,
1978-06-20,471.1951404953581,483.2004337035998,954.3955741989579,,,
1978-06-21,420.0461004953579,244.62925469160004,664.675355186958,,,
1978-06-22,354.33753049535807,450.76929370359994,805.1068241989581,,,
1978-06-23,490.489990495358,226.8098946916,717.2998851869579,,,
1978-06-24,438.4934704953579,476.6183537036,915.111824198958,,,
1978-06-25,384.54553049535787,476.8101437035997,861.3556741989576,,,
1978-06-26,336.8010814211616,229.2631256960413,566.0642071172028,,,
1978-06-27,309.66307604862186,231.73883946218896,541.4019155108108,,,
1978-06-28,347.7812561779643,240.92902587304383,588.7102820510081,,,
1978-06-29,352.7383280268271,269.5944412577794,622.3327692846065,,,
1978-06-30,315.80091102915253,247.21972738697517,563.0206384161277,,,
1978-07-01,350.3477283819285,276.8123459437811,627.1600743257096,,,
1978-07-02,359.75594015525706,291.5865747719221,651.3425149271791,,,
1978-07-03,312.87585638717985,335.8580334053113,648.7338897924911,,,
1978-07-04,77.3839304953581,296.8566746915999,374.24060518695796,,,
1978-07-05,77.55600000000004,219.18658469159993,296.7425846916,,,
1978-07-06,202.0521667319631,231.6182294552644,433.67039618722754,,,
1978-07-07,318.14206303717583,213.4552639502837,531.5973269874595,,,
1978-07-08,353.4217262654838,203.97001639776775,557.3917426632515,,,
1978-07-09,343.8679130885748,235.24012530799027,579.1080383965651,,,
1978-07-10,314.2408418620935,219.43090268739005,533.6717445494835,,,
1978-07-11,362.8647913230398,209.06497993710173,571.9297712601415,,,
1978-07-12,363.7898848784,258.608066726292,622.397951604692,,,
1978-07-13,372.66301327048393,273.052082711489,645.7150959819729,,,
1978-07-14,354.5973548382458,264.8412300954551,619.4385849337009,,,
1978-07-15,317.5719271482599,228.47696711591456,546.0488942641745,,,
1978-07-16,352.56174669856716,236.6703477761487,589.2320944747158,,,
1978-07-17,307.34011367516814,260.09659323020514,567.4367069053733,,,
1978-07-18,354.00258758261634,246.79341971344547,600.7960072960618,,,
1978-07-19,413.5835329267447,285.1853931972339,698.7689261239786,,,
1978-07-20,412.90926364802084,296.93292350769144,709.8421871557123,,,
1978-07-21,423.9355663737786,307.87278065884686,731.8083470326255,,,
1978-07-22,425.39263655822515,312.96024027837785,738.352876836603,,,
1978-07-23,420.91389890577,314.4482572373915,735.3621561431614,,,
1978-07-24,406.51502751494996,302.88619776447894,709.4012252794289,,,
1978-07-25,422.3954744915311,326.36736683769414,748.7628413292252,,,
1978-07-26,424.70198350793066,331.93369625328353,756.6356797612142,,,
1978-07-27,421.3262127896462,326.63662757041607,747.9628403600623,,,
1978-07-28,375.4138816265735,288.7521827964905,664.166064423064,,,
1978-07-29,416.1361986392972,310.5849863707385,726.7211850100357,,,
1978-07-30,433.035897113173,286.9918963989588,720.0277935121318,,,
1978-07-31,406.04876948335124,324.4550882450497,730.5038577284009,,,
1978-08-01,415.9124880649281,298.461516278259,714.3740043431872,,,
1978-08-02,428.8563979192524,306.02290851473975,734.8793064339922,,,
1978-08-03,434.47510498076946,319.380077575281,753.8551825560505,,,
1978-08-04,374.32573316498144,264.5372394385595,638.8629726035409,,,
1978-08-05,415.3265487520997,320.3285789441543,735.655127696254,,,
1978-08-06,64.46265854224943,644.1467104800378,708.6093690222872,,,
1978-08-07,64.63362661893369,444.6492302459896,509.2828568649233,,,
1978-08-08,764.4893999999999,122.8,887.2893999999999,,,
1978-08-09,191.6914745389568,196.4291323878553,388.1206069268121,,,
1978-08-10,296.70809713479093,410.2643597403334,706.9724568751244,,,
1978-08-11,305.1110775072523,271.9212655020113,577.0323430092635,,,
1978-08-12,345.312984024622,191.82397478841983,537.1369588130418,,,
1978-08-13,311.30654998153636,260.0141701317671,571.3207201133034,,,
1978-08-14,426.3849854123266,267.03957639642294,693.4245618087496,,,
1978-08-15,431.8325616957874,306.3242988901273,738.1568605859147,,,
1978-08-16,462.41527618936624,321.7181859839033,784.1334621732695,,,
1978-08-17,462.9981514727401,317.715571439138,780.7137229118781,,,
1978-08-18,472.9159013848538,336.2688048669207,809.1847062517745,,,
1978-08-19,476.35768524916506,361.969762746569,838.327447995734,,,
1978-08-20,429.96644268341197,337.92802046163416,767.8944631450461,,,
1978-08-21,445.0084986571894,343.1433415541367,788.1518402113261,,,
1978-08-22,454.61815350586335,346.5605332732492,801.1786867791125,,,
1978-08-23,461.0343475933369,351.85672905908433,812.8910766524212,,,
1978-08-24,456.14642652970736,345.9526156868058,802.0990422165132,,,
1978-08-25,436.49253352550943,345.39016010549386,781.8826936310033,,,
1978-08-26,441.83931150705723,362.38249017565687,804.2218016827142,,,
1978-08-27,431.68833924694115,344.7163318282954,776.4046710752366,,,
