date,Q_i,Q_C,Q_L,T_i,T_C,T_L
1978-05-12,901.7802739897595,310.0185542922242,1211.7988282819838,,,
1978-05-13,833.3982304953581,240.59851168622004,1073.9967421815782,,,
1978-05-14,1453.607191704405,923.6626532814954,2377.2698449859004,,,
1978-05-15,2657.6054998728578,1223.724887543854,3881.330387416712,,,
1978-05-16,2596.069803738316,1219.6698883979827,3815.739692136299,,,
1978-05-17,3436.369867121559,1544.8689123939787,4981.238779515537,,,
1978-05-18,4175.202863556068,1593.1834466911737,5768.386310247242,,,
1978-05-19,4277.467187835275,1683.3959993100884,5960.863187145364,,,
1978-05-20,2835.852812680988,1318.9376815490054,4154.790494229994,,,
1978-05-21,2507.5372462572413,1177.1677102727465,3684.7049565299876,,,
1978-05-22,2036.3855095500426,1016.9586983159217,3053.344207865964,,,
1978-05-23,1738.202623539942,881.3048766528001,2619.507500192742,,,
1978-05-24,1884.8608427236954,916.6583835421897,2801.519226265885,,,
1978-05-25,2114.8530041176627,1009.1471148360314,3124.0001189536943,,,
1978-05-26,1511.3425440267572,805.3650230906353,2316.7075671173925,,,
1978-05-27,1066.5492188990092,581.0599639414079,1647.6091828404171,,,
1978-05-28,1011.5774735914616,572.2720899903402,1583.8495635818017,,,
1978-05-29,821.3557951866651,538.6476492961826,1360.0034444828477,,,
1978-05-30,750.1491400076713,467.20472780809183,1217.3538678157631,,,
1978-05-31,1034.222930495358,528.0072288381521,1562.23015933351,,,
1978-06-01,1367.9479638244532,607.5031424996598,1975.451106324113,,,
1978-06-02,1108.177930495358,435.74614,1543.924070495358,,,
1978-06-03,1165.177946420395,519.9135721735928,1685.091518593988,,,
1978-06-04,1102.5121659509864,590.2109275645404,1692.7230935155267,,,
1978-06-05,840.1240704953581,425.7777376424936,1265.9018081378517,,,
1978-06-06,737.817130495358,361.09697000000006,1098.914100495358,,,
1978-06-07,594.6724304953581,446.6,1041.272430495358,,,
1978-06-08,1882.144817602614,539.4493843151695,2421.5942019177837,,,
1978-06-09,1817.4102941182184,920.2888275857938,2737.699121704012,,,
1978-06-10,1240.0721444543933,679.2781596341207,1919.350304088514,,,
1978-06-11,871.883280495358,480.08812256279055,1351.9714030581486,,,
1978-06-12,751.739130495358,375.22453,1126.963660495358,,,
1978-06-13,944.2913116395555,543.1268453379562,1487.4181569775117,,,
1978-06-14,748.8080904953579,399.5421473020907,1148.3502377974487,,,
1978-06-15,658.4767304953581,340.00401000000005,998.4807404953581,,,
1978-06-16,589.437890495358,571.3420737035999,1160.779964198958,,,
1978-06-17,628.960450495358,319.5203946916,948.480845186958,,,
1978-06-18,513.2981104953581,301.87061469160005,815.1687251869581,,,
1978-06-19,424.8216704953581,189.0473606916,613.8690311869581,,,
1978-06-20,467.7394304953581,483.2244837035999,950.963914198958,,,
1978-06-21,420.2275604953581,493.4887837036,913.716344198958,,,
1978-06-22,349.56246049535787,202.02206469159975,551.5845251869576,,,
1978-06-23,494.76496049535797,475.6886287035998,970.4535891989578,,,
1978-06-24,441.1456804953579,476.2569337036,917.402614198958,,,
1978-06-25,385.21788049535814,227.5198296915999,612.7377101869581,,,
1978-06-26,324.7869982915135,229.34967569936364,554.1366739908772,,,
1978-06-27,403.4807762793692,273.8983271091156,677.3791033884847,,,
1978-06-28,437.82788813186613,297.1762351062432,735.0041232381093,,,
1978-06-29,527.8390645994635,382.33794074730736,910.1770053467709,,,
1978-06-30,497.59638030296685,370.16582462867234,867.7622049316392,,,
1978-07-01,567.7946168176807,427.401601352585,995.1962181702656,,,
1978-07-02,620.9570167346856,472.0581231147344,1093.01513984942,,,
1978-07-03,512.8431244988567,466.607390725498,979.4505152243547,,,
1978-07-04,229.02797505191896,280.00097394351394,509.02894899543287,,,
1978-07-05,77.55599999999959,203.08193000000065,280.6379300000002,,,
1978-07-06,315.1795750722695,232.0965304210774,547.2761054933469,,,
1978-07-07,543.8750543241522,213.6687494046756,757.5438037288278,,,
1978-07-08,512.6931324579809,334.51321220979315,847.2063446677741,,,
1978-07-09,543.8750543241522,385.9447744541122,929.8198287782643,,,
1978-07-10,543.8750543241522,396.5532416247948,940.4282959489469,,,
1978-07-11,585.3734213241513,403.3626699812121,988.7360913053634,,,
1978-07-12,555.7368508195093,484.839717377686,1040.5765681971952,,,
1978-07-13,558.6495123195093,517.3313400624278,1075.980852381937,,,
1978-07-14,543.7029848195093,538.8022895671688,1082.5052743866781,,,
1978-07-15,412.3188153354416,290.9637670600863,703.2825823955279,,,
1978-07-16,363.9141278544881,237.2336549164994,601.1477827709875,,,
1978-07-17,318.19222129353403,260.7127567347161,578.9049780282501,,,
1978-07-18,360.66118654381756,247.93000919870428,608.5911957425219,,,
1978-07-19,418.4799349624285,287.5344535864572,706.0143885488857,,,
1978-07-20,421.6598391640707,297.8656214723188,719.5254606363895,,,
1978-07-21,424.4732814727765,308.7960503592084,733.2693318319848,,,
1978-07-22,425.72513925552363,314.8983264049279,740.6234656604515,,,
1978-07-23,420.6949287871766,316.679113861282,737.3740426484586,,,
1978-07-24,406.4514639788701,304.81824318256463,711.2697071614348,,,
1978-07-25,423.2421035156442,328.0097400610902,751.2518435767345,,,
1978-07-26,426.0692802751717,332.9069478840967,758.9762281592684,,,
1978-07-27,423.45519363796006,328.3529631816552,751.8081568196153,,,
1978-07-28,376.55491290047564,292.36972436086626,668.9246372613419,,,
1978-07-29,416.0538870671289,313.6741865045408,729.7280735716697,,,
1978-07-30,433.114310495699,290.4361150988306,723.5504255945295,,,
1978-07-31,406.7257909116113,324.79100057102966,731.5167914826409,,,
1978-08-01,414.82525591495096,300.0639405540448,714.8891964689958,,,
1978-08-02,442.6433029899267,314.0854639291755,756.7287669191022,,,
1978-08-03,466.41077105035635,335.2831858873864,801.6939569377428,,,
1978-08-04,399.5464021663941,277.39959571255804,676.9459978789521,,,
1978-08-05,416.4967529931413,323.01375865093434,739.5105116440757,,,
1978-08-06,64.46266480241238,651.5176264268748,715.9802912292872,,,
1978-08-07,64.63348280162971,453.26736703986666,517.9008498414963,,,
1978-08-08,759.4694,122.8,882.2693999999999,,,
1978-08-09,198.4074326603653,209.65430506723808,408.0617377276034,,,
1978-08-10,282.32766020064565,408.5105077986735,690.8381679993191,,,
1978-08-11,296.2483851220875,290.6613379926512,586.9097231147387,,,
1978-08-12,345.78052041531635,212.05854018306567,557.839060598382,,,
1978-08-13,284.0704890002762,319.94198055213394,604.0124695524102,,,
1978-08-14,400.6260702499299,305.709211779452,706.3352820293819,,,
1978-08-15,389.837975357004,342.3829238618143,732.2208992188182,,,
1978-08-16,422.7456881771451,357.8433083219459,780.5889964990911,,,
1978-08-17,444.70591879585925,341.39590509965035,786.1018238955096,,,
