,epoch,loss,val_loss,time,val_time
0,0,1.3681449890136719,10.05152702331543,0.45881128311157227,0.2313089370727539
1,1,8.684754371643066,2.1377952098846436,0.7084939479827881,0.2287154197692871
2,2,2.0583322048187256,2.1091060638427734,0.6876564025878906,0.2182636260986328
3,3,2.0667316913604736,1.8566534519195557,0.7910420894622803,0.2372455596923828
4,4,1.9445397853851318,1.6834502220153809,0.7366557121276855,0.2210373878479004
5,5,1.8084137439727783,1.7011065483093262,0.7396795749664307,0.23157215118408203
6,6,1.8108545541763306,1.868064045906067,0.772315502166748,0.23759150505065918
7,7,1.9597405195236206,1.6883270740509033,0.6762754917144775,0.2248523235321045
8,8,1.7756876945495605,1.5613642930984497,0.7415733337402344,0.2784759998321533
9,9,1.6893088817596436,1.5589914321899414,0.7387733459472656,0.23869585990905762
10,10,1.7016087770462036,1.5558366775512695,0.7756009101867676,0.23084259033203125
11,11,1.7167125940322876,1.479245662689209,0.725553035736084,0.2249126434326172
12,12,1.662097692489624,1.367358684539795,0.7178051471710205,0.2179100513458252
13,13,1.5610816478729248,1.345591425895691,0.7115743160247803,0.22358179092407227
14,14,1.5401090383529663,1.38400137424469,0.720404863357544,0.22347784042358398
15,15,1.6098638772964478,1.2567576169967651,0.745959997177124,0.23875999450683594
16,16,1.5344268083572388,1.2097206115722656,0.7176711559295654,0.2398819923400879
17,17,1.5659904479980469,1.2010725736618042,0.7146894931793213,0.23505520820617676
18,18,1.5068844556808472,1.2227689027786255,0.7218468189239502,0.22825407981872559
19,19,1.4557344913482666,1.299069881439209,0.7051832675933838,0.21381163597106934
20,20,1.4583823680877686,1.3397165536880493,0.7130613327026367,0.2564661502838135
21,21,1.466960072517395,1.3189533948898315,0.9893858432769775,0.23183274269104004
22,22,1.4513083696365356,1.2674915790557861,0.7439885139465332,0.2442765235900879
23,23,1.4430855512619019,1.2204504013061523,0.7465569972991943,0.3225522041320801
24,24,1.4371055364608765,1.1815558671951294,0.8241934776306152,0.22902321815490723
25,25,1.3908764123916626,1.1790156364440918,0.770587682723999,0.26187896728515625
26,26,1.3616622686386108,1.1875494718551636,0.726891279220581,0.22592973709106445
27,27,1.3845916986465454,1.0936468839645386,0.7206368446350098,0.22765302658081055
28,28,1.357240080833435,1.0624992847442627,0.7239060401916504,0.23653817176818848
29,29,1.3673151731491089,1.0649940967559814,0.7315967082977295,0.2203512191772461
30,30,1.3394254446029663,1.1053311824798584,0.7083089351654053,0.2299361228942871
31,31,1.3189947605133057,1.1130322217941284,0.7674837112426758,0.227982759475708
32,32,1.2946282625198364,1.116550087928772,0.6905176639556885,0.22915053367614746
33,33,1.3070058822631836,1.1103692054748535,0.7147245407104492,0.22311830520629883
34,34,1.302453875541687,1.118817925453186,0.7230441570281982,0.21203303337097168
35,35,1.275534749031067,1.1053143739700317,0.715684175491333,0.22217893600463867
36,36,1.2559000253677368,1.0740349292755127,0.6959400177001953,0.2164454460144043
37,37,1.268880844116211,1.070776343345642,0.7110791206359863,0.21518874168395996
38,38,1.2551484107971191,1.0494468212127686,0.7939836978912354,0.2772254943847656
39,39,1.227815866470337,1.0300416946411133,0.9041626453399658,0.24946856498718262
40,40,1.2029876708984375,0.9951529502868652,0.7724153995513916,0.23886322975158691
41,41,1.2088369131088257,0.9676527976989746,0.7938947677612305,0.2987370491027832
42,42,1.196376085281372,0.9612219333648682,0.8424010276794434,0.25102925300598145
43,43,1.1931500434875488,0.961261510848999,0.8261263370513916,0.2338709831237793
44,44,1.1828924417495728,0.9747267365455627,0.7267825603485107,0.2304065227508545
45,45,1.163923978805542,0.9706539511680603,0.7299339771270752,0.21881365776062012
46,46,1.1565747261047363,0.9226609468460083,0.718609094619751,0.2271425724029541
47,47,1.1595555543899536,0.9289073944091797,0.7228758335113525,0.564267635345459
48,48,1.157776117324829,0.8975710272789001,0.733942985534668,0.2263185977935791
49,49,1.1449849605560303,0.9501222372055054,0.7489824295043945,0.2199101448059082
50,50,1.1601394414901733,0.9476557374000549,0.7205581665039062,0.22144126892089844
51,51,1.1895755529403687,1.0655274391174316,0.7104768753051758,0.21571636199951172
52,52,1.1719722747802734,1.0044000148773193,0.7475848197937012,0.21528220176696777
53,53,1.1407305002212524,0.9421719312667847,0.7178618907928467,0.21737360954284668
54,54,1.1845475435256958,1.117830753326416,0.69746994972229,0.21317315101623535
55,55,1.1727761030197144,0.9982547163963318,0.730079174041748,0.2264852523803711
56,56,1.121666669845581,1.0053167343139648,0.8519999980926514,0.2276458740234375
57,57,1.1638209819793701,1.0169572830200195,0.7034459114074707,0.2157888412475586
