date,mu_ft,sd_ft,obs
1979-01-01,80.87120819091797,6.466709557004552e+20,67.04
1979-01-02,74.37554931640625,1.8336807204583113e+19,67.44
1979-01-03,72.44851684570312,4.903383154741477e+18,
1979-01-04,71.70106506347656,3.082290358080504e+18,
1979-01-05,71.33412170410156,2.4581473598932255e+18,
1979-01-06,69.91243743896484,1.0152302132162724e+18,
1979-01-07,67.10039520263672,1.7458682998974054e+17,
1979-01-08,65.64117431640625,7.041470891766579e+16,
1979-01-09,71.65845489501953,2.7205579044898734e+18,
1979-01-10,67.94290161132812,2.859778376036516e+17,
1979-01-11,66.17402648925781,9.92802048615383e+16,
1979-01-12,66.24822998046875,1.0333988525912883e+17,
1979-01-13,62.03126907348633,7625471231524864.0,
1979-01-14,59.335941314697266,1473232301457408.0,
1979-01-15,59.63352966308594,1761379375644672.0,
1979-01-16,58.72905349731445,1017795647111168.0,
1979-01-17,58.817657470703125,1082190360215552.0,
1979-01-18,58.785953521728516,1093277415636992.0,
1979-01-19,59.02785873413086,1249772400803840.0,
1979-01-20,58.95212936401367,1196409713852416.0,
1979-01-21,57.85452651977539,592762999144448.0,
1979-01-22,58.15779113769531,714204474507264.0,
1979-01-23,58.07547378540039,674453679767552.0,
1979-01-24,63.42842483520508,1.7168735555026944e+16,
1979-01-25,62.405948638916016,9069023161483264.0,
1979-01-26,56.69572067260742,276450183741440.0,
1979-01-27,57.94217300415039,586879296602112.0,
1979-01-28,59.117923736572266,1198177227112448.0,
1979-01-29,60.39143753051758,2601422768046080.0,
1979-01-30,61.694793701171875,5841368123441152.0,
1979-01-31,61.868656158447266,6520122743193600.0,
1979-02-01,57.62638473510742,516892804513792.0,
1979-02-02,57.74064254760742,556532869627904.0,
1979-02-03,58.815914154052734,1059382137716736.0,
1979-02-04,57.70425033569336,541744491921408.0,
1979-02-05,57.800106048583984,579228282126336.0,
1979-02-06,57.7874641418457,573925406801920.0,
1979-02-07,58.137367248535156,745977166168064.0,
1979-02-08,58.43263626098633,864276470300672.0,
1979-02-09,58.82784652709961,1153247574228992.0,
1979-02-10,59.05880355834961,1285456465494016.0,
1979-02-11,60.05733871459961,2507745236353024.0,
1979-02-12,60.63718032836914,3432588060393472.0,
1979-02-13,60.65060806274414,3454604331188224.0,
