date,saltfront,saltfront_lb,saltfront_ub
1979-01-01,66.96799999999996,66.96549449844595,66.97050550155397
1979-01-02,67.51279999999991,67.50738725061676,67.51821274938307
1979-01-03,67.51769999999999,67.50994709231098,67.525452907689
1979-01-04,75.78229999999996,75.76344969555916,75.80115030444077
1979-01-05,71.24350000000004,71.22960510960829,71.2573948903918
1979-01-06,68.47049999999997,68.46040791172695,68.480592088273
1979-01-07,67.64659999999999,67.63431973524486,67.65888026475513
1979-01-08,67.82650000000001,67.80737001114048,67.84562998885954
1979-01-09,71.05940000000005,71.03567424232494,71.08312575767516
1979-01-10,68.00530000000003,67.98647932278341,68.02412067721666
1979-01-11,66.92610000000002,66.90635841412735,66.94584158587269
1979-01-12,66.94550000000002,66.92596683105505,66.965033168945
1979-01-13,66.6608,66.6417670812685,66.67983291873149
1979-01-14,66.7172,66.69779265555238,66.73660734444763
1979-01-15,66.8446,66.82798640764574,66.86121359235426
1979-01-16,67.88720000000004,67.8789134797739,67.89548652022617
1979-01-17,67.9123,67.90354153861806,67.92105846138195
1979-01-18,67.66999999999999,67.66467711079166,67.67532288920832
1979-01-19,67.56730000000002,67.55907768179382,67.57552231820621
1979-01-20,67.20970000000003,67.20205852043449,67.21734147956556
1979-01-21,68.08769999999998,68.07493733030493,68.10046266969503
1979-01-22,74.3215,74.31176648652581,74.33123351347419
1979-01-23,71.52480000000003,71.5141759476061,71.53542405239395
1979-01-24,49.884699999999995,49.86439551057451,49.90500448942548
1979-01-25,48.48490000000002,48.46194903412516,48.50785096587487
1979-01-26,48.186000000000014,48.160084255415676,48.21191574458435
1979-01-27,46.017199999999995,45.98880083077761,46.04559916922238
1979-01-28,45.300399999999996,45.270473415591034,45.33032658440896
1979-01-29,44.103899999999996,44.078074514503086,44.129725485496905
1979-01-30,43.68819999999999,43.66398014968268,43.712419850317296
1979-01-31,43.45469999999998,43.430633051608694,43.47876694839127
1979-02-01,43.59859999999999,43.57158377035153,43.62561622964845
1979-02-02,42.583399999999976,42.559168732038394,42.60763126796156
1979-02-03,43.405099999999976,43.381461396905244,43.42873860309471
1979-02-04,66.11760000000001,66.1067721745104,66.12842782548962
1979-02-05,66.43230000000003,66.42251820632875,66.4420817936713
1979-02-06,66.15569999999997,66.1460526746139,66.16534732538604
1979-02-07,65.6561,65.64729955908537,65.66490044091462
1979-02-08,65.57760000000002,65.57196105003484,65.58323894996519
1979-02-09,65.6067,65.6016203005665,65.61177969943351
1979-02-10,65.7659,65.7613325100649,65.7704674899351
1979-02-11,65.61590000000002,65.6116887917007,65.62011120829935
1979-02-12,65.59629999999997,65.59257253280634,65.6000274671936
1979-02-13,65.55069999999999,65.54662393595162,65.55477606404837
1979-02-14,65.48429999999999,65.480024257296,65.48857574270399
1979-02-15,64.97409999999999,64.96682107873781,64.98137892126218
1979-02-16,65.23299999999999,65.22877656232079,65.23722343767919
1979-02-17,65.286,65.28177828092355,65.29022171907646
1979-02-18,65.18840000000002,65.1847362175642,65.19206378243584
1979-02-19,65.2279,65.22227059883917,65.23352940116084
1979-02-20,65.20069999999998,65.19504676449442,65.20635323550555
1979-02-21,65.25229999999999,65.24674649768718,65.2578535023128
1979-02-22,65.7513,65.74197741270301,65.760622587297
1979-02-23,66.5045,66.49056902403943,66.51843097596056
1979-02-24,66.1723,66.1606525681092,66.18394743189081
1979-02-25,64.96179999999998,64.94482219734918,64.97877780265078
1979-02-26,65.21159999999998,65.18920329276462,65.23399670723533
1979-02-27,65.02759999999996,65.01148019419965,65.04371980580028
1979-02-28,65.06879999999995,65.05178273689133,65.08581726310858
1979-03-01,65.08889999999997,65.07103896854817,65.10676103145177
1979-03-02,64.46409999999997,64.44585376390646,64.48234623609349
1979-03-03,61.56549999999999,61.54509622067771,61.58590377932227
