model_id,nrmse,r,r2,rmse
SalinityLSTM_none,0.3772895836032919,0.485617246286504,-0.3245717076651564,3.678573440132096
SalinityLSTM_lag1,0.2449143563335072,0.563896690779071,0.06984586827650963,2.387914974251695
SalinityLSTM_7d_avg,0.2594718396248451,0.5226557223142105,0.027959591367202052,2.52985043634224
SalinityLSTM_lag1_7d_avg,0.3928036940486119,0.44122961389739895,-1.6346170964746554,3.8298360169739656
SalinityLSTM_1d_7d_avg,0.22848739470994098,0.554188831992397,0.09165807082713673,2.2277520984219246
SalinityLSTM_lag1_1d_7d_avg,0.14206976204590105,0.8302183990101301,0.650768560862635,1.3851801799475352
