date,mu_ft,sd_ft,obs
1979-01-02,74.16073608398438,1.379744877626897e+21,67.44
1979-01-03,70.83462524414062,1.5648154488703392e+20,
1979-01-04,76.25483703613281,3.1233189621254303e+21,
1979-01-05,73.76284790039062,5.4135776166723296e+20,
1979-01-06,71.43008422851562,1.463768834941911e+20,
1979-01-07,68.9946517944336,2.1973845434219626e+19,
1979-01-08,69.12513732910156,5.067260964814979e+18,
1979-01-09,69.70549774169922,9.900987858913591e+18,
1979-01-10,67.1316909790039,5.832003737526206e+18,
1979-01-11,67.54137420654297,3.0780014380984566e+18,
1979-01-12,65.11958312988281,8.930201142642606e+17,
1979-01-13,66.42512512207031,3.1625066032744366e+18,
1979-01-14,66.76032257080078,9.4051530573244e+17,
1979-01-15,63.779571533203125,1.9833906428850995e+17,
1979-01-16,64.41757202148438,8.619401503624397e+17,
1979-01-17,65.44278717041016,2.4679093738804347e+18,
1979-01-18,66.23362731933594,6.081397713717428e+18,
1979-01-19,66.67117309570312,1.0423156926060691e+19,
1979-01-20,66.04695892333984,5.889303136740311e+18,
1979-01-21,66.73823547363281,5.178369913336627e+17,
1979-01-22,64.85828399658203,1.6251445001479782e+17,
1979-01-23,66.52369689941406,5.948705626820444e+17,
1979-01-24,48.13917541503906,257332264960.0,
1979-01-25,44.724151611328125,19296864256.0,
1979-01-26,40.26324462890625,1092902912.0,
1979-01-27,38.415992736816406,353694048.0,
1979-01-28,38.426673889160156,352047104.0,
1979-01-29,37.558902740478516,199269440.0,
1979-01-30,40.2016487121582,1111995520.0,
1979-01-31,37.906410217285156,248886640.0,
1979-02-01,39.11841583251953,551769600.0,
1979-02-02,40.43692398071289,1295831040.0,
1979-02-03,38.10471725463867,282871328.0,
1979-02-04,44.986061096191406,19340935168.0,
1979-02-05,49.30579376220703,516259479552.0,
1979-02-06,60.00607681274414,5962148509384704.0,
1979-02-07,59.82722091674805,4204347244150784.0,
1979-02-08,60.625694274902344,2.572646970346701e+16,
1979-02-09,62.90814971923828,1.5712552018876826e+17,
1979-02-10,62.22452163696289,1.5157028922903757e+17,
1979-02-11,63.05004119873047,5.000529748699382e+17,
1979-02-12,63.837425231933594,1.3289474063387853e+18,
1979-02-13,64.75081634521484,3.3970184147058033e+18,
1979-02-14,64.38207244873047,2.6267954011638333e+18,
1979-02-15,64.17350006103516,2.40409151998106e+18,
1979-02-16,64.27639770507812,2.4232428135136625e+18,
1979-02-17,64.76095581054688,3.6259422331669053e+18,
1979-02-18,64.43882751464844,2.697677342393762e+18,
1979-02-19,64.67961883544922,3.4075311202568765e+18,
1979-02-20,64.25796508789062,2.24104782691618e+18,
1979-02-21,64.33760833740234,2.2866786589805117e+18,
1979-02-22,65.58892822265625,3.567998245261017e+18,
1979-02-23,64.27144622802734,9.99917589654143e+17,
1979-02-24,64.97332763671875,3.069101166349517e+17,
1979-02-25,63.53614807128906,4.001959473106125e+16,
1979-02-26,62.93677520751953,1.1719187634323456e+16,
1979-02-27,62.203956604003906,9079788497010688.0,
1979-02-28,61.64115905761719,8325441915977728.0,
1979-03-01,58.59898376464844,351794429427712.0,
1979-03-02,57.82439041137695,207796993785856.0,
1979-03-03,56.06249237060547,57086817861632.0,
1979-03-04,56.11643981933594,59562547740672.0,
1979-03-05,57.02381134033203,120256332824576.0,
1979-03-06,56.66865921020508,96895544328192.0,
1979-03-07,59.64173889160156,1052333559513088.0,
1979-03-08,59.542381286621094,849064635662336.0,
1979-03-09,44.751861572265625,17854580736.0,
1979-03-10,40.3365478515625,1148410624.0,
1979-03-11,37.33920669555664,163457504.0,
1979-03-12,39.744911193847656,815865536.0,
1979-03-13,39.58710479736328,730694400.0,
1979-03-14,47.25572967529297,99429982208.0,
1979-03-15,40.41577911376953,1292385280.0,
1979-03-16,38.824798583984375,454217120.0,
1979-03-17,40.627403259277344,1476738816.0,
1979-03-18,39.62421417236328,761373056.0,
1979-03-19,38.95611572265625,491704096.0,
1979-03-20,38.80202865600586,444142240.0,
1979-03-21,39.879722595214844,872800320.0,40.25
1979-03-22,43.471702575683594,10819316736.0,44.09
1979-03-23,45.062110900878906,34085312512.0,47.59
1979-03-24,48.90087127685547,684204097536.0,
1979-03-25,54.468482971191406,25224361803776.0,
1979-03-26,56.1141357421875,115335701200896.0,
1979-03-27,57.03707504272461,289789160980480.0,
1979-03-28,57.27081298828125,447410232885248.0,
1979-03-29,57.442047119140625,388936266416128.0,
1979-03-30,57.35765838623047,291828129595392.0,
1979-03-31,56.88621520996094,217064409137152.0,
1979-04-01,57.06835174560547,299616012599296.0,
1979-04-02,57.2976188659668,396657308991488.0,
1979-04-03,59.82965087890625,5770165618737152.0,
1979-04-04,58.85452651977539,2185384318468096.0,
1979-04-05,57.89789581298828,723301752111104.0,
1979-04-06,57.783729553222656,670180925505536.0,
1979-04-07,57.832481384277344,755827874988032.0,
1979-04-08,58.015220642089844,1027509319630848.0,
1979-04-09,57.57522201538086,610865816535040.0,
1979-04-10,59.931312561035156,5511940910612480.0,
1979-04-11,58.47628402709961,976786561171456.0,
1979-04-12,57.40812683105469,407422946508800.0,
1979-04-13,57.65406036376953,410101831696384.0,
1979-04-14,58.42794418334961,552787792363520.0,
1979-04-15,57.07157897949219,193504936460288.0,
1979-04-16,58.46691131591797,706662377717760.0,
1979-04-17,61.354026794433594,9935402890690560.0,
1979-04-18,62.50171661376953,4.130948937416704e+16,
1979-04-19,61.638671875,3.120607487904973e+16,
1979-04-20,59.61763000488281,3064628816904192.0,
1979-04-21,59.16064453125,2375916315475968.0,
1979-04-22,61.932167053222656,4.472042355163136e+16,
1979-04-23,59.32073211669922,6872136115290112.0,
1979-04-24,59.17594909667969,5590247291224064.0,61.6
1979-04-25,60.789031982421875,4.039691190298214e+16,62.05
1979-04-26,62.54869842529297,4.771866377055109e+17,62.31
1979-04-27,62.55970764160156,6.811436051165348e+17,62.52
1979-04-28,62.49660110473633,7.555955231628984e+17,62.52
1979-04-29,62.207862854003906,6.079561941615903e+17,62.4
1979-04-30,62.08354949951172,5.426533123699507e+17,62.28
1979-05-01,61.900184631347656,4.674931370366075e+17,61.95
1979-05-02,61.507911682128906,3.3644018145846886e+17,61.52
1979-05-03,61.30255126953125,2.990557896816722e+17,61.04
1979-05-04,60.87039566040039,1.9837235887498854e+17,60.54
1979-05-05,60.76105499267578,2.0219541234437325e+17,60.43
1979-05-06,60.53185272216797,1.7609915669413888e+17,60.76
1979-05-07,60.717987060546875,2.066968129484882e+17,61.08
1979-05-08,61.03966522216797,2.6609432086655795e+17,61.58
1979-05-09,61.56670379638672,4.070383112494776e+17,62.16
1979-05-10,62.143531799316406,6.285554070690202e+17,62.59
1979-05-11,62.59947204589844,8.66086408710783e+17,63.06
1979-05-12,63.0544319152832,1.1874450702073856e+18,63.45
1979-05-13,66.14221954345703,9.372601053511418e+18,63.53
1979-05-14,64.30677795410156,2.814122220845007e+18,63.58
1979-05-15,63.74290084838867,1.8815374863252849e+18,63.72
1979-05-16,63.518516540527344,1.5940587638101115e+18,63.86
1979-05-17,64.01769256591797,2.2736835310518272e+18,64.12
1979-05-18,64.02420806884766,2.2649748492040274e+18,64.53
1979-05-19,64.11700439453125,2.2093523426612347e+18,64.92
1979-05-20,64.55447387695312,2.7743006584660296e+18,65.26
1979-05-21,64.98348999023438,4.1168106781723853e+18,65.71
1979-05-22,65.23162078857422,4.997462317416317e+18,66.07
1979-05-23,65.2651596069336,4.1948699564305285e+18,66.44
1979-05-24,65.59956359863281,3.0565425445370593e+18,66.69
1979-05-25,66.82252502441406,2.758807989874852e+18,66.43
1979-05-26,66.90193939208984,9.871383508335722e+18,65.68
1979-05-27,65.82269287109375,5.158813449769189e+18,64.65
1979-05-28,63.55262756347656,6.852849843820298e+17,
1979-05-29,62.216819763183594,6.12235819834409e+16,
1979-05-30,61.33954620361328,5062983147323392.0,
1979-05-31,58.29446029663086,382582264954880.0,
1979-06-01,57.72340393066406,395305367371776.0,
