dist_0_0,dist_0_1,dist_0_2,dist_0_3,z_0_0,z_0_1,z_0_2,z_0_3,z_0_4,dist_1_0,dist_1_1,dist_1_2,dist_1_3,z_1_0,z_1_1,z_1_2,z_1_3,z_1_4,dist_2_0,dist_2_1,dist_2_2,dist_2_3,z_2_0,z_2_1,z_2_2,z_2_3,z_2_4,dist_3_0,dist_3_1,dist_3_2,dist_3_3,z_3_0,z_3_1,z_3_2,z_3_3,z_3_4,dist_4_0,dist_4_1,dist_4_2,dist_4_3,z_4_0,z_4_1,z_4_2,z_4_3,z_4_4,-Jrel,Jadd,Jtubr
0.09728262103453049,0.042604011658206806,0.4863837345454118,0.12781084496913964,1.0,0.9558673768886926,0.0,0.0002048335694005137,0.0,1.0,0.7719082903965209,0.555978002262667,0.8292416426464015,0.0,0.03977472455378771,0.0,0.9658155361134835,1.0,0.5344396224399487,1.0,0.10721246503041078,0.5710234997636058,0.0,0.006311876878195623,0.4807274762643162,0.0,0.040547400538100395,0.7134934846192353,0.15798268546578106,0.017976892228220586,0.2866335799671387,0.5810526034699864,0.13022723107663833,0.7697213252773858,0.0,0.0009353437104898262,0.7703333685551189,0.01,0.5074616536950196,0.7750085650402831,0.8525529439803767,0.0,0.003117157491359026,0.008515879505078454,0.9049470101824432,-0.3226,221.7581,0.4294
0.5490874591752877,0.7775675300010896,0.20784115824221483,0.45384502155379775,0.9912769779835646,0.10217490013161071,0.0,0.0007234612705799227,0.030701713012358522,0.9303026552755701,0.05191948954090049,0.21601425645025868,0.9426297913127663,0.0,0.9973321231094379,0.7589208979710081,0.6822824410090766,1.0,0.995964171841253,0.17503256368810266,0.8697319178697073,0.9974918417961112,0.0,0.0,0.26648237323406687,0.2907297952382497,0.14740943369352486,0.8903217212420836,0.2400495449203899,0.1324207699044169,0.17230419760127139,0.8809556164204991,0.11371695459553763,1.0,0.008373083925377781,0.01727014903253469,0.6790087208988513,0.4292930896148747,0.9827075344799899,0.9979133696275433,0.08461464422999138,1.0,0.0,0.03025561571700173,1.0,-0.4625,222.8038,0.6249
0.6326364593976657,0.01,0.15220307853432502,0.5229052829279376,0.2098955987911967,0.9786069844354264,1.0,0.00922954084941147,0.007858165194431095,0.90525719664179,0.8338781540232661,0.8745087733817375,0.9375889485503948,0.0,0.21398019214116823,0.11995347674687312,0.290752461390846,0.5241365802586662,0.3274306815897107,0.5220358666022044,1.0,0.5445928836795144,0.012853032051307067,0.028757114378087412,0.010368301354403411,0.05293956525202617,0.5201661845525026,0.3867229332015855,1.0,0.8816266766632676,0.4611853910023259,0.4986297165975496,0.27481200091656266,0.2954330517270851,1.0,0.00012072832693247064,0.7143810787677775,0.13069225425142983,0.4394949283496532,0.9966427630595093,0.8938983368193308,0.3736783698762724,0.00552864061736343,0.0009057356932058004,0.9513613673153766,-0.4606,204.6654,0.9822
0.07577813084076342,0.08148792896668072,0.15689373565683828,0.9302306738201972,1.0,0.13475363350254912,0.007182749083140762,0.0007305780376676127,0.0,1.0,0.028128239461282227,0.15558692444796307,0.9165878849872527,0.0006629440179958659,0.13465488069717704,0.026006346640265576,0.11983212559706846,0.14151595954432528,0.9230099113192239,1.0,0.9090279749335569,1.0,0.0,0.028100715309394175,0.3131385263458645,0.017346714758991476,0.3515285152773202,0.7237605805505467,1.0,0.01,0.37584530280805073,0.5149300659584144,0.21222645612768207,0.733370693262208,0.0,0.00265953208995662,0.8591707127778218,0.3420163230930241,0.9369244529804772,1.0,0.8174207925189265,0.7346624380496476,0.0,0.003423265329490843,0.9735452251407205,-0.361,242.1138,0.3476
0.01,0.38745203443812837,0.5977628101647944,1.0,0.8674236487062054,0.0,0.0,0.00030320666204569494,0.004620968741719935,0.991603114483651,0.7023846685847475,0.04098441414009603,1.0,9.745105064896926e-05,0.0,0.0,0.9734091518187507,1.0,0.428163493085723,0.251932788998914,0.21869655736565025,0.603233814933632,0.0,0.0,0.7678460911097588,0.00408833117703171,0.08193838845494526,0.01,0.1407129065501998,0.2602110202617295,0.49062200003478995,0.43277631085958496,0.8507833127917495,0.4298535925065347,0.0,0.0006664319149794453,0.9659152776789471,0.9222716286736854,0.9993285056921579,0.614347886250358,0.8237249631258454,0.024264950978816268,0.0,0.0007151585973712013,0.9811066446469267,-0.2375,248.5447,0.0181
0.09709881772554552,0.03396134394407843,1.0,1.0,1.0,0.9013069242784604,0.0,0.0025428236125975582,0.0006543424056828543,0.5359881500329172,0.1796747484176235,0.08176130321442338,0.9026103371080827,0.00025753446569787985,0.0,0.6359324843483837,1.0,0.9991644096983976,0.6356413762120927,0.9248531973286553,0.03174828608780528,0.5765155686774951,0.0,0.016928748569470953,0.19282587788839106,0.08625445456646856,0.0,0.22092595088193645,0.055783071695253324,0.2071416893625125,0.4648437882110471,0.6625867336219392,0.10965673806443953,0.7887146579611222,0.0,0.0032202359136694093,0.6739296447663394,0.05371810505470078,0.9752789505805712,0.7105212318190159,0.9287766274466308,0.02433904072485495,0.0,0.0010696052546055096,0.30957732485181116,-0.2426,244.7203,0.0995
0.10419547239679548,0.010319285128701776,0.3529040629994765,0.15224390694973203,0.9996389278676905,1.0,0.0007157921048057438,0.007735025639459034,0.0,0.999018415709381,0.8139323505601261,0.59578593149491,0.7935192964814095,0.001959251119878932,0.049038748538571646,0.00037752958350842705,0.9905916861013395,1.0,0.48427153218251145,1.0,0.025711666633842545,0.7063656959067994,2.085226890277465e-06,0.02842485259902038,0.43252377906460027,0.007787447235648035,0.07144497368574608,0.7664376301094104,0.15356395310666243,0.013807459516096573,0.3432942154405765,0.6061855355008756,0.00010127249638486845,0.6920331353661839,0.0019086647882768236,0.0033725213068420863,0.9039781853073156,0.01,0.4792139298824521,0.7250385963290499,0.9771270913465246,0.13343678649291552,0.0034314636890079085,0.007751301644988243,0.779140746878884,-0.3348,224.1956,0.3695
0.7036101819741578,0.31525331213042734,0.1545186310010979,0.6049216715483643,0.14796391771010362,0.9745718527397886,1.0,0.0006550516400108811,0.0009450321129259176,0.771469248939826,0.7778319312051473,0.155201418687813,1.0,0.0048592113244630124,0.21860484734765046,0.05851985718558908,0.9148820536759503,0.38430950497049776,0.4080133580833963,0.3963024767242714,0.9241805759013223,0.8731760657386698,0.0007745068872679553,0.05068811372756744,0.92103911947369,0.0,0.3707160715071015,0.1766018135942638,1.0,0.9750270097609143,0.3877222976014088,0.5935024566679021,0.4465487966348967,0.9267558393497541,1.0,0.0,0.6432697633751545,0.45662702558916407,0.3529671921919224,1.0,0.8403951453689005,0.23564310683213996,0.11860096306884824,0.0004951518244553124,0.9532079562560427,-0.4509,203.2512,0.9934
0.1527314015423678,0.04967116692203965,0.684553214750959,0.24539414512665764,0.9931183320394933,0.9907328377334823,0.01720119209848104,0.005195957643182175,0.004804953414113151,0.9786302848671713,0.8828756497738335,0.5971340998506682,0.7681076482989541,0.0026236098665032557,0.026395665436302687,0.07465860301512697,0.9559469057431551,0.9465211116039425,0.39415052540409873,0.9535971903813493,0.01,0.6349399004118165,0.001065589001827258,0.006152666782444398,0.36261680659677425,0.09799212028927193,0.09162465391059307,0.8165564699537291,0.24213680125615478,0.027374239648016975,0.3208006644592661,0.7408067226703098,0.037313238224187154,0.8588389158997639,0.0,0.007476602851866973,0.8670349351343036,0.06474511603385834,0.5055435778117785,0.7297445337243259,1.0,0.18099982939012635,0.002248108707160089,0.005599273366169272,0.8809356099338794,-0.3375,223.7432,0.4011
0.07831557447749735,0.1289737292885984,0.5298598241935707,0.9877231190428439,1.0,0.92058939242324,0.00017343335340260543,0.00784414941868138,0.0,0.9999949885882348,0.7234836755441336,0.0371671063519558,0.9992757340762525,0.0006339510247943408,0.0019170674929317386,0.039663852796671284,0.963974915690634,0.8825417399859865,0.9516704701469791,0.9828177658127574,0.3129529352670888,0.6196455288209047,5.809760761163875e-07,0.0029579447037278543,0.36086808665001285,0.0373650318520185,0.35329640808990953,0.7546185341172925,0.1282716358989524,0.022892963391066924,0.34285796897124393,0.6448366439004475,0.2003028824883611,0.7080122830122346,0.0,0.0,0.8643916741668173,0.09545606932845359,0.9265745666441626,0.7354678133420627,0.895762086855832,0.06734844871740125,0.0,0.006584382704998561,0.8885169832843021,-0.3314,239.5648,0.2159
0.036142034437933894,0.11169948342556715,1.0,1.0,0.9781019620813625,0.9643783308619045,0.0,0.0004365565381571358,0.0,0.45816442681134617,0.01,0.11160811234266964,0.8677940387987061,0.0,0.0,0.6641877662474267,0.7194141268484638,0.8528622426370995,0.7623481301332254,0.6915447497773191,1.0,0.5543103317279162,0.0,0.0,0.06504670917279064,0.062851782247318,0.0,0.01,0.13149190254582988,0.39265006234726507,0.5068248357235258,0.5231153514536607,0.9759594638423971,0.7236748572036408,0.0,0.0,0.7740483499420486,0.01,0.946434587606833,0.7044012894416988,0.9706658024398702,0.12629142640333457,0.0,0.0,0.20570376770673848,-0.2426,246.3951,0.0698
0.6068284257595242,0.033502193120591925,1.0,1.0,0.9880925667377368,0.0,1.0,0.0036902480787327913,0.0,0.9590306562560407,0.18630808057053358,0.06917894774168966,0.01,0.0040088296831440945,0.12008128737408681,0.16081972992050747,1.0,0.7608552511452991,0.44662917336263486,0.7013709701231005,0.01,0.49290142501784234,0.0018323147171699667,0.024789408489890714,0.38433203862689774,0.8851644891953588,0.007841287768585382,0.8607622232491446,0.9734861184545981,0.01,0.1629364983613251,1.0,0.7719387370680486,1.0,0.0006675417436132488,0.010082115697168,0.6838514718703843,0.430404716268856,1.0,0.9543434444722659,0.27349984439453545,0.6510844705948696,0.00014474798146144204,0.011809601351054874,0.9668233676197368,-0.4714,211.6167,0.8873
0.2221676519797598,0.07211470177899969,0.37828806039481366,0.2382589945048307,0.007233476731335528,0.0,1.0,0.011002673053291839,1.0,0.25480392318005857,0.7187690306822032,0.948971456179565,0.9115921777522028,0.00013130168957718795,0.4759212644632983,0.053258366470601066,0.15100855285317477,0.3228598856031865,1.0,0.3971565929261506,0.7074947595225892,0.595824625825276,0.3604787564269335,0.9447564399668872,0.0,0.7937311277617302,0.00033831569545327554,1.0,0.2555140217976444,0.4542238022370907,0.37233444206662913,0.7660704836247154,0.4996557558749501,0.7816711546382883,1.0,0.008091893661456826,0.2395153826158621,0.05549817070057787,0.6817192520795048,0.8353034984198932,0.9593520104637396,0.3791104946323592,0.5352159527523447,0.03166704056724828,0.44021001886348804,-0.4435,202.3089,1.0
0.11188383299702027,0.01439039853185502,1.0,1.0,1.0,0.852175065910027,0.0,0.0031864886606984195,0.0005230771281224211,0.4999649759266127,0.17788603866318256,0.04690426478456504,0.8842712136913109,0.00024074143229307644,0.0,0.6531977956316839,1.0,0.9896499228426272,0.6129822740768844,0.9749883020691028,0.01,0.5998400939020222,0.0,0.01933644432148426,0.15209830279350728,0.13155489969480103,0.029864109931600234,0.18111221935463873,0.15744285564594343,0.19498788198221656,0.48258999321197077,0.6474649495871589,0.13866534404310277,0.8532515466548465,0.0,0.003357634083438116,0.6912178709506425,0.0322306354055516,0.9913617727055228,0.7196030215745454,0.9594002148493246,0.0,0.0,0.0,0.25081256871287283,-0.2426,244.5499,0.1043
0.07385444806289615,0.040626838011157754,0.43643775038090765,0.9286277979233036,0.983015925733427,1.0,0.02029684535024381,0.0006435727074943249,0.0,0.9947968226401823,0.8480241167325623,0.5467313979958797,0.9196611239081763,0.0003409838984813515,0.17799981396590278,0.018278247432537538,0.07480763285583854,0.7236738946885793,0.5035571581656955,0.9614855146172226,0.7423416423190737,0.6731648709700795,0.00010357523429342836,0.03530191580115552,0.4515008714644728,0.1771249622921447,0.11457750487994503,0.7572335429005156,0.24615859310244478,0.01,0.2690454407954081,0.9251494107174013,0.10924147792333493,0.8643238778012554,0.0,0.002906337116653551,0.7885385953966865,0.06661155258503837,0.564235988629475,0.4979900246794415,0.8805934843632091,0.8927594120902974,0.0,0.003678848466200245,0.7094999118196866,-0.3434,241.7835,0.2658
0.1444907304589905,0.5907296248951756,0.14454642501521853,0.938778088916675,1.0,0.09817191123237635,0.0,6.666648349844926e-05,0.0013798026210139565,0.9968025079993329,0.7353549010436439,0.5894707788054783,0.9446757372525936,0.0007294159582437699,0.12391713532568958,0.0,0.6201451219629289,0.8142895172003626,0.8289063218051356,1.0,0.8915108833728045,0.9945800640180347,0.0006920272258162477,0.018573422445994043,0.4818995755655179,0.0,0.06098225106708291,0.6632500125108546,0.27675840545301683,0.13594753251437428,0.16303615011110645,0.5027734550362923,0.1753234658869166,0.9671328180201327,0.007684402480067736,0.004465077807149471,0.914697649309184,0.17345036923679596,0.952902952276968,1.0,0.13617897305640492,1.0,0.000614389904168744,0.0,0.9944685419430073,-0.3706,239.4778,0.424
0.6516371998748901,0.10075048222744244,0.5145040166566975,0.5565232685758992,0.1752022209900375,1.0,1.0,0.003625595677170667,0.0,0.8958183572644777,0.7377047525472763,0.6186883553430281,0.9848718100494115,0.0026410469346866516,0.0,0.01724009737954285,0.8282420375484815,1.0,0.3681023984742451,0.4266720724080225,0.989195232499889,0.8811066110533781,0.0,0.0228273490721935,0.9262804081343676,0.0,0.5012601281619741,0.9706890448111806,0.9836917523718227,0.9496989794484997,0.46040509204953883,0.47311762517632516,0.34346437521859546,0.9958443049604349,0.9930132567769884,0.005201887632312437,0.8710355281909243,0.45662923037864933,0.3689583038726509,1.0,0.8260515944813627,0.3651921315367695,0.0,0.0015749552224116972,0.931672859899028,-0.4517,204.1853,0.9797
0.14678408239123758,0.06482627187846553,0.3271920479206129,0.054909079921242346,0.0,0.0,1.0,0.009985349311474791,1.0,0.2808841922546295,0.7599472749893923,1.0,0.90275003432236,0.0001826261526487874,0.5426928788723522,0.02079433725781641,0.3205312496023739,0.3522902390374111,0.9258209974245151,0.4039736847418297,0.6314086045050348,0.5968093363812741,0.37833641578115884,0.35697079644467933,0.0,0.8069122283395845,0.0,1.0,0.24489272485074326,0.3951750385185719,0.3562227862619587,0.7649623348327947,0.5690325569034749,0.8221755092561305,1.0,0.00036049081440181675,0.18159713922193382,0.05129802451347058,0.656325919066166,0.8046066566108558,0.9292005759609131,0.40072672438861,0.5654332776819413,0.03476956000384083,0.4498826211471347,-0.434,201.7543,1.0
