date,flow_01425000,flow_01417000,inflow_delLordville,consumption_delLordville,flow_lordville,flow_delTrenton,flow_outletSchuylkill,cannonsville_storage,pepacton_storage,cannonsville_storage_pct,pepacton_storage_pct
1978-01-01,249.1278620988,45.24099999999999,731.9641,0.0,1026.3329620988002,7739.319106403559,1185.7863,76912.17913550984,112644.57448992756,80.36800327639482,80.34563087726644
1978-01-02,256.5393520988,45.24099999999999,645.96936,0.17206950464194462,947.5776425941581,7288.9423770021085,1369.24848293521,77209.85190703609,113071.6297255037,80.67905110453091,80.6502351822423
1978-01-03,256.4263120988,45.24099999999999,596.1033,0.17206950464194462,897.5985425941581,9370.801918524669,2220.8020808785664,77433.11538103122,113407.82185098703,80.91234627067003,80.890029850918
1978-01-04,235.46032209880002,45.24099999999999,605.7244,0.17206950464194462,886.253652594158,9846.166916281918,2068.875273878566,77670.88480123172,113752.25698348809,81.1607991653414,81.13570398251646
1978-01-05,213.6380120988,45.24099999999999,575.7902,0.17206950464194462,834.497142594158,10875.625328356067,2091.767330878566,77844.08026882842,113998.46704426041,81.34177666544244,81.31131743527847
1978-01-06,175.9983920988,45.24099999999999,543.2437,0.17206950464194462,764.311022594158,9985.15695736375,2144.7346528785665,77990.69316898342,114214.3606802575,81.49497718807045,81.46530718991262
1978-01-07,169.6637920988,45.24099999999999,505.7340699999999,0.17206950464194462,720.4667925941579,10644.742242851424,2252.002683795631,78133.98920781136,114430.09963687233,81.64471181589484,81.61918661688469
1978-01-08,368.5644620988,45.24099999999999,594.57416,0.17206950464194462,1008.2075525941581,13020.581035871375,3052.0270818873737,78306.05879653769,114685.78607905137,81.8245128490467,81.80155925752594
1978-01-09,54.9368420988,45.24099999999999,13067.966,0.17206950464194462,13167.971772594157,10064.579980395994,11894.896769887371,87472.6365231582,122729.24501242499,91.40296397404201,87.53869116435449
1978-01-10,2552.943524182905,1550.2376845343997,7565.6733,0.17206950464194462,11668.682439212662,6632.187493033525,4143.189195887374,88700.40035769461,124897.1789612642,92.68589379069448,89.0850063917719
1978-01-11,3338.4799191940015,1550.2376845343997,5859.3047,0.17206950464194462,10747.850234223759,29355.159500640006,3340.680336887373,87793.34306630403,125451.5185140341,91.73808052905332,89.4803983694965
1978-01-12,2914.7606930537645,1550.2376845343997,4515.466,0.17206950464194462,8980.292308083523,18896.589965967294,2963.1228168873736,86768.88757810573,125382.89290051289,90.66759412550233,89.43145000036583
1978-01-13,2373.8263553404336,1550.2376845343997,3210.2798,0.17206950464194462,7134.171770370192,18989.550574417903,3964.9702168873728,85837.55186781008,124857.38493171462,89.6944115651098,89.05662263317733
1978-01-14,2040.0014880909616,1550.2376845343997,2252.0593,0.17206950464194462,5842.126403120719,41224.31615242743,9154.06279688737,85028.42122491791,124081.6384873915,88.84892499991423,88.50330847888124
1978-01-15,1735.5077917177778,1550.2376845343997,1597.4485,0.17206950464194462,4883.0219067475355,33641.67237869419,4454.718189287372,84237.76727844002,123149.61109115444,88.02274532752354,87.83852431608733
1978-01-16,1479.6673443346194,1550.2376845343997,1301.1046,0.17206950464194462,4330.837559364378,23619.244880088907,3192.9566458873724,83499.27563295198,122156.30263048744,87.25107171677323,87.13003040690973
1978-01-17,572.4845237036,344.76574979284254,1048.7354,0.17206950464194462,1965.8136039918006,22436.865976033383,4032.347649887374,83562.52244783411,122304.59290302418,87.31716034256438,87.23580092940384
1978-01-18,588.9327837036,193.89,903.62683,0.17206950464194462,1686.277544198958,58745.7315895824,10269.64015388737,83636.06153150264,122472.40797710733,87.39400369018038,87.35549784387113
1978-01-19,561.2026937036,193.89,853.396,0.17206950464194462,1608.316624198958,37940.31058408535,5457.874288887374,83678.69612237117,122568.9702446111,87.43855394187166,87.42437249972261
1978-01-20,563.3781137036,193.89,787.8182,0.17206950464194462,1544.914244198958,30495.801267311555,4099.713336887373,83756.69672067373,123024.710081669,87.52005926925155,87.74943657750998
1978-01-21,545.7281437035999,288.86217594619933,759.07697,0.17206950464194462,1593.4952201451574,24885.32160512381,3827.2344018873737,83816.0659189763,123343.7625427807,87.58209604908703,87.97700609328153
1978-01-22,511.2553637036,490.8409425957048,752.2899,0.17206950464194462,1754.2141367946629,20293.78358353092,3383.750458928113,83866.25398727886,123447.12078724291,87.63453917166025,88.05072809361121
1978-01-23,493.5646137036,653.5186404759133,714.0191,0.17206950464194462,1860.9302846748715,17541.81534904087,2918.312410889407,83907.22886558142,123375.7308838249,87.67735513644871,87.99980804837725
1978-01-24,522.5802883158343,775.0227338803392,591.5089,0.17206950464194462,1888.9398526915315,17074.0812789575,2653.908111636805,83902.45950927175,123263.01524700246,87.67237148304258,87.91941173110018
1978-01-25,413.91379581562404,721.6339415686806,747.6616,0.17206950464194462,1883.0372678796625,34020.49938013845,8215.62285822595,84850.57498546228,123512.89564249168,88.66308775910375,88.09764311162031
1978-01-26,674.2983484888454,769.0547582680081,4098.503,0.17206950464194462,5541.684037252212,61219.91236821205,24725.207477986416,91986.9046089796,128189.27042128157,96.12006751199542,91.43314580690554
1978-01-27,2707.1590136554323,1550.2376845343997,7261.98,0.17206950464194462,11519.204628685191,28875.753020942026,7308.353319887373,93606.45716733033,129840.36347380508,97.81238993451446,92.6108156018581
1978-01-28,3490.3888479352,1550.2376845343997,5307.036,0.17206950464194462,10347.490462964957,22287.031513493796,6119.881215739386,92844.9611914013,130267.35032632858,97.01667836092089,92.91537113147545
