date,T_C,T_i,Tavg,T_L
1979-01-01,4.188325881958008,-0.31440815329551697,0.25412273196890833,0.6913277590606917
1979-01-02,3.852449655532837,-0.0961228460073471,-0.03551180432412616,0.3878496819989829
1979-01-03,2.9521796703338623,0.7879554033279419,0.8061653350560543,1.2697561115121678
1979-01-04,2.827644109725952,-0.18577022850513458,0.0462987404857193,0.47357049119538175
1979-01-05,2.811683416366577,-0.3253161311149597,0.03551519957165332,0.46227153388731396
1979-01-06,2.8189640045166016,-0.24054130911827087,-0.05081962430322569,0.3718102005520473
1979-01-07,2.8641016483306885,0.3290344476699829,0.4373487156228185,0.8833113184065666
1979-01-08,3.1894869804382324,0.5960676074028015,0.7309655097310084,1.190961991594328
1979-01-09,2.748532772064209,-0.19971981644630432,0.4299076429724184,0.8755145879195119
1979-01-10,2.835543632507324,-0.2620120346546173,0.5616329310427454,1.0135358944792292
1979-01-11,2.6882338523864746,-0.38162633776664734,0.3750448347966934,0.818029525052115
1979-01-12,2.4308528900146484,-0.4238549768924713,0.3078095650159181,0.7475806392080906
1979-01-13,2.9325144290924072,-0.40841883420944214,0.064509286400272,0.49265143895501295
1979-01-14,3.2259464263916016,-0.3764943778514862,-0.08671785607565118,0.3341961560128663
1979-01-15,2.63693904876709,-0.35386839509010315,-0.12729457216561207,0.2916800115983703
1979-01-16,4.096236705780029,-0.6089491248130798,-0.07477186075416271,0.3467131290753797
1979-01-17,3.083320379257202,-0.2965677082538605,0.12629059208061397,0.5573856798580469
1979-01-18,2.6067018508911133,-1.2723077535629272,0.39112944210517525,0.8348829216074627
1979-01-19,2.286287546157837,-1.6576775312423706,0.09841135204135174,0.5281739074453224
1979-01-20,2.6197619438171387,-1.1957920789718628,0.2864725478457873,0.725223785554172
1979-01-21,3.2021756172180176,-1.0049381256103516,0.2505859899009376,0.68762197281162
1979-01-22,3.7775509357452393,0.059376198798418045,0.27073583267549367,0.7087349091920081
1979-01-23,3.237762451171875,-0.22655712068080902,0.5785107242706253,1.031220388529552
1979-01-24,3.779985189437866,-0.2164713591337204,0.9023060776686269,1.3704920529809337
1979-01-25,3.8173749446868896,0.5538983345031738,1.0986589262861428,1.5762298965637316
1979-01-26,3.941920518875122,1.6414400339126587,2.3134206046069408,2.849053030653199
1979-01-27,3.6698882579803467,1.1386407613754272,1.9893692598603026,2.5095131393417787
1979-01-28,3.4214224815368652,1.333798885345459,2.0861508958868145,2.6109206067388855
1979-01-29,3.296691417694092,1.0528103113174438,1.8787425803490956,2.393598882708322
1979-01-30,2.998065233230591,1.2062662839889526,1.7743736562949912,2.2842414808517506
1979-01-31,3.2767484188079834,1.2697832584381104,1.9279500520116595,2.445158303309029
1979-02-01,3.1251211166381836,1.5383553504943848,2.0363485780698465,2.5587379083709734
1979-02-02,2.718222141265869,0.3556657135486603,1.1635970850746484,1.6442718773623368
1979-02-03,2.9738645553588867,-0.16409121453762054,0.9845603720340326,1.4566778214447667
1979-02-04,2.948458671569824,-0.5745823979377747,0.679813363194638,1.1373649473083847
1979-02-05,2.8581972122192383,-0.9609120488166809,0.4436715058829622,0.889936316427768
1979-02-06,2.6814358234405518,-0.8452979922294617,0.44294185209010606,0.88917178767781
1979-02-07,2.773681163787842,-1.0589337348937988,0.36336200914337846,0.8057883002683133
1979-02-08,2.783130407333374,-0.9822143912315369,0.6026406998864946,1.0565036944956645
1979-02-09,2.3858492374420166,-0.7259564399719238,-0.12894838363037983,0.2899471535988583
1979-02-10,2.5534067153930664,-1.5947340726852417,-0.8314072600726837,-0.4460868559018442
1979-02-11,2.7717597484588623,-0.5315400958061218,0.038275597011812136,0.4651638688891657
1979-02-12,2.266195058822632,-1.3165572881698608,-0.6667805400958993,-0.27359154145845926
1979-02-13,2.1257266998291016,-0.7939043045043945,-0.2709164473904597,0.141193501684595
1979-02-14,2.0281474590301514,-0.7455872297286987,-0.2266588438575901,0.18756646737928645
1979-02-15,2.1809489727020264,-0.6673604846000671,-0.1347366742438959,0.2838822024802978
1979-02-16,2.3788933753967285,-0.6598631739616394,-0.09305917084288266,0.32755174807646126
1979-02-17,2.1456103324890137,-0.6822579503059387,-0.22502475008130493,0.18927866525220793
1979-02-18,2.609668254852295,-0.7910837531089783,-0.3070900704985069,0.10329090304532779
1979-02-19,2.2903900146484375,-0.4780300259590149,0.03416800092191291,0.4608599437472841
1979-02-20,3.0010297298431396,-0.8824694156646729,-0.22246816860308827,0.19195744258584677
1979-02-21,2.9504590034484863,-0.6506382822990417,0.007849770937369159,0.4332837923338478
1979-02-22,3.3333399295806885,-0.3176843523979187,0.3498687952243964,0.7916501568482481
1979-02-23,3.27278470993042,-0.13346873223781586,0.501885218173638,0.9509324451723176
1979-02-24,3.5489792823791504,0.098836250603199,0.7640035543704515,1.2255791418326307
1979-02-25,3.743096351623535,-0.047629911452531815,0.8869157307337336,1.3543661000718217
1979-02-26,3.7004685401916504,-0.26474639773368835,0.9119511250246307,1.3805981006306094
1979-02-27,3.728548526763916,-0.27073538303375244,0.7932762198850645,1.256250940695241
1979-02-28,3.7243263721466064,0.18882782757282257,1.0525652936889336,1.5279331458915766
1979-03-01,3.8291211128234863,0.603756308555603,1.3894276420611595,1.880896363009663
1979-03-02,3.8330888748168945,0.7367134094238281,1.4857471877004103,1.9818196536785744
1979-03-03,3.7607927322387695,0.8872681260108948,1.660500204376467,2.164925267188443
1979-03-04,3.8510069847106934,1.9194996356964111,1.9857511043086187,2.5057220483227702
1979-03-05,4.3599629402160645,1.4031031131744385,3.0274147625197685,3.5971736686473297
