c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,-Jrel,Jadd,Jtubr
0.2952691284842668,1.027385923394889,1.3765527654678842,-0.5625263480149659,-0.5024858554162696,1.0078047768548848,-2.0,2.0,1.6172208299548463,-1.8981033229824393,2.0,2.0,0.6067143805853743,1.1220388550959541,-0.01405460180021784,0.04363580121653414,-1.8166144262574582,1.371417787896942,-1.5096422247591477,-0.12685599291232372,2.0,-0.5604,196.8726,0.5841
0.2946575525871531,0.508064352176543,-0.39237453793284965,1.4954665866420185,0.4693372794466223,0.14535570800496567,-1.4543448330086224,0.7418961184769501,0.8349797546489484,-0.32197480292970343,-0.6647540632696802,-0.8608650874136272,-0.12463155201403246,-1.1105947556977311,-1.5248595509847342,-0.19706895289606852,0.6722876768044627,0.07813723987539348,-1.254576717921,-1.742511268799825,2.0,-0.3229,248.8761,0.0379
0.363519807960541,-0.998472270960505,-2.0,-0.27162992659732005,-1.7225923087515491,1.9048410599077532,0.7762779729749791,-0.32222280624471666,-1.9164819291303177,-0.8264004736602871,-1.7419572098165303,0.41561628716964427,-0.3848627942396945,0.6802447675710598,1.448719631274027,1.7853480028562263,-2.0,0.0872706902455071,-1.4019617734768266,1.9534433741041521,1.7300490322764666,-0.5389,195.0339,0.5028
0.0,-1.9653429390779928,-2.0,0.4323578949696633,-1.1750018689665833,2.0,0.3653342967865868,0.005203632024745067,-1.1700291211037992,-0.46180183783055506,-0.17562164948976217,1.9947578878974235,2.0,0.23734300147555892,0.7436107459577332,-0.7803344388167931,-0.6923837300442895,-0.6318265431213159,-2.0,1.9050866327504266,2.0,-0.5402,200.2705,0.4596
0.0,-1.979730797476681,-1.9853194474038338,-1.944335943342606,-2.0,2.0,1.5745368123078873,-0.028292550818310128,-1.9453502063713781,-0.15086455409695912,-2.0,1.8375458993978988,-0.546765081091101,-0.16593522170371014,-0.015602429497428565,1.080214831783511,2.0,-1.253867632779388,-0.5530651902412079,1.9745215888495506,1.92465633695444,-0.4422,177.4235,0.6881
0.0,-1.9689529990323034,-2.0,-1.4802525751181388,-2.0,2.0,2.0,1.1969153208778183,-2.0,-0.5144795483998172,-2.0,2.0,-0.2490911975219623,-0.06366184371826633,0.5081636343201571,-0.5338457669319321,0.7980579323496628,-1.2050169209445998,-0.8578378076922797,2.0,2.0,-0.4615,192.4428,0.4642
0.061161470304341596,-2.0,-2.0,-2.0,-2.0,2.0,1.2668274690736037,0.4628730378322935,-1.9966746957520154,-0.6139169784088896,-2.0,2.0,-1.0629395421290844,-0.5783210438125695,2.0,1.2082299273833739,-1.5218321004377127,0.2924271756941058,-0.7880307535909391,2.0,2.0,-0.4528,192.4442,0.4372
0.40167135280350547,-1.1220313001053157,-0.25431510840591437,-0.19248389815698613,-1.5534270256114886,1.0875892090446209,-1.5647044945393274,-0.7776235674054641,-0.20014191938257808,-0.6610616368047331,1.461668682274448,0.0846554152125178,-0.07316605554798421,0.11747006007331273,1.2257747462821795,1.1794177893144324,-0.8058340361138333,1.5041828173200642,-1.6964003788383104,0.5850528023100913,1.9389878761124333,-0.3524,242.4553,0.0696
0.06931418074659743,-1.0699347690562147,0.7193117189175414,-0.5760214706040712,-1.588938834475921,1.5768389690466713,-0.6973489013565601,-1.429889167533496,-0.4848237116187972,-2.0,2.0,-0.9367664068217798,-0.2576888519134548,-0.143500898791982,0.922092987659568,0.48564595702063,-0.14990023367461136,1.6186587754240889,-1.9575824780011055,1.1614843053578476,1.800188239510259,-0.3633,234.365,0.0989
0.5695745793117899,-1.9997284760260494,-2.0,0.9893265143522499,-1.9415032038813318,1.9498998749125758,-1.8312054236032624,1.0175796752700272,-0.6533257542198277,1.8261427627709508,0.6513761201167135,0.12277461918515893,-0.40585390420431244,-2.0,0.29218787904601007,0.6435899635304504,-0.0699460531329497,-1.9832226752214306,-1.9187580756950668,0.5639928383530369,1.9881046995142573,-0.4716,228.1864,0.1939
0.1711945480322369,-1.3413402218765185,-0.32299809703529503,0.9258498236353531,-1.922210303369421,1.1706909048083183,-1.2074502427693101,0.9318172149468454,-1.5744872373481245,1.1027817598758123,0.34226611005730206,-1.5237028258729757,-0.05843499355681034,-1.1539659597745813,1.2627736305399904,0.8764943338549993,-0.59399156272192,0.520384450021085,-0.9863556758452249,0.7693402606111032,1.4893190576832807,-0.3418,244.7596,0.0569
0.03724973414633229,-1.0821131739295722,0.3349718737528748,-0.8257722718108297,-1.5740750228181974,1.549109577968545,-0.5496014759068175,-0.3045467452246784,-1.0344885267644879,-1.8053918733795489,1.7563090285316514,1.8725606417362652,-0.015233173901979036,0.09213545708120217,0.9834262694140453,0.6988558960806552,0.10504984888600319,1.261865717828657,-1.8724752894218795,1.2470434966796802,1.981984764754366,-0.4505,228.5147,0.1475
0.0764358299836833,-1.8483356872265972,-2.0,-1.9840594730169954,-2.0,2.0,1.2192704517951074,-1.8816829912169812,-2.0,-0.07342878045138315,-1.4045353157076321,0.07234708499760245,-0.7191719639912598,-0.17801673547470473,-0.02642725557159792,1.5563220314600237,1.9720985781507696,-0.8826151538129764,-0.9988944685319663,1.8353604983353304,2.0,-0.4704,196.1762,0.489
0.5822938144063355,-2.0,-1.6273235890182953,1.7362752570287703,-1.798141108496685,2.0,-2.0,-0.7982089105969906,-1.0255831228896268,1.7521976567776945,1.8081389673210069,-1.4333751060634417,0.5885389712362492,-1.3495736433649386,1.176862139968521,1.5095748216643916,-2.0,1.79322277480125,-2.0,-1.1312592221503233,2.0,-0.3469,240.2075,0.0688
