weight_0,center_0_0,basis_0_0,center_1_0,basis_1_0,center_2_0,basis_2_0,center_3_0,basis_3_0,weight_1,center_0_1,basis_0_1,center_1_1,basis_1_1,center_2_1,basis_2_1,center_3_1,basis_3_1,-Jrel,Jadd,Jtubr
0.055021448424205005,0.9446150828861399,1.8766356424924533,0.6287650928226066,1.8182225708254736,0.31238218434391574,0.9095134565600544,0.013506169099292697,1.4359482895685132,0.5771349569276301,0.8304950344591858,0.08099499396176706,0.824625428193169,1.7726711048026158,0.6650119955013198,1.8954902679281076,0.31824709371430127,1.5333616828620118,-0.5508,0.5405,1.0
0.4719677342221982,0.1748545478345065,1.3463188106977793,0.8923286605968279,1.0349177461228718,0.2969945515349704,0.01585243557410171,0.977976169092527,0.17220900106420847,0.4342682236540911,0.8036666024108485,0.011950274645675774,0.5858323500631386,0.9156652485476705,0.6755442020364189,1.862876749665102,0.7603411425272197,0.043047283950796905,-0.3394,0.7585,0.3154
0.06185930367703177,0.3391045943792222,1.8960375341767843,0.39049114152467873,0.6717119253006831,0.2924978692859847,0.01585243557410171,0.9773527161173882,0.1556041611895707,0.06487611696822299,0.7816844072783591,0.08383276534217687,0.2942152060426809,1.7073253007689262,0.6215206865744173,1.9584485658651145,0.7534901265186905,0.04973542346566612,-0.3299,0.7398,0.3519
0.017708784691603148,0.9385860627036462,1.9216569024531225,0.3387163523862616,1.3023641277149398,0.3206844934036829,0.9872271839726399,0.1478448426859011,0.035808693636143696,0.5336469448844315,0.7868338888820194,0.012636388412227133,0.8480547756817415,0.11591107808912085,0.705472375226633,1.9617183374185463,0.988310973979754,0.011557128965612451,-0.3452,0.8892,0.0573
0.3512964359110141,0.15040853821821262,1.617047775583754,0.3118675681620614,0.9197981059419071,0.06824256636166784,1.3133016520575995,0.875466676819268,0.10029740849788775,0.3899723413078389,0.8609918199341959,0.2712001700139516,0.8262449498359967,0.018327993341978877,0.40443350820895546,0.5794442602105224,0.7584030670939114,1.0376891278875209,-0.3586,0.7451,0.3998
0.09652240027385,0.6052041252765987,1.423954338032921,0.7295196723208962,1.2362091038926466,0.3440509346674423,1.3726342701763121,0.6900872769332612,0.24388259427477105,0.5701114444263722,0.8256069181562993,0.042684441815177984,0.8288565909037777,0.9792810181280701,0.38407369688519843,1.8300600214242437,0.7851532522796039,0.9248622200276204,-0.5878,0.6974,0.7853
0.1869689094129895,0.9885936483603673,0.8565238817326694,0.7413944889505486,1.975395971495326,0.296988096686177,1.2573923124200004,0.8524635143901023,0.10559372017965067,0.44702776233095903,0.7995589403483427,0.011085118553484678,0.849780872000662,0.6133762338145768,0.15975011524810706,1.9759413034255082,0.9591148607981745,0.398192370932215,-0.3407,0.7295,0.4485
0.3329465160330993,0.35015285316659384,1.364469227662173,0.28935911675540943,0.8813573520841014,0.293726296012112,0.01585243557410171,0.9704188038055146,0.044954278527266064,0.41178040326761767,0.8594448858835051,0.002975397793371179,0.8282563298378276,0.04768490491003796,0.38131723466476086,1.9226831275821143,0.7558008677500583,0.0527325615975332,-0.2413,0.8267,0.1155
0.09323533432084168,0.9912442710090889,1.9230560055744883,0.3387163523862616,1.9700514482993836,0.3584806637182221,0.9872271839726399,0.1612440538454957,0.026320383234216867,0.4084415115409383,0.786734083947133,0.007789545145310783,0.8349604773193192,0.05055074078464687,0.705472375226633,1.9673759673227413,0.988310973979754,0.011557128965612451,-0.3194,0.9134,0.0392
0.3473376114987381,0.5866711812202392,0.807435170363539,0.3140192491341963,1.8917200166987116,0.02684021538811157,0.8494978694544455,0.8685739755108878,0.08782715740732441,0.1644786468703776,0.8542408179708133,0.09840324610819143,0.8180810589158413,0.053901984959116904,0.5654465808760074,1.9364875183162653,0.783971864199678,0.29523836582076723,-0.3453,0.7379,0.4197
0.34595220456044706,0.5866711812202392,0.8050599506965357,0.3140192491341963,0.6434657207561457,0.3006078498297612,0.8494978694544455,0.8702994007721359,0.08728751352019098,0.1644786468703776,0.8541343533659942,0.09840324610819143,0.8180810589158413,0.04827913419066291,0.5654465808760074,1.9363707920302244,0.766020615168861,0.29556380846564234,-0.34,0.7398,0.4081
0.3253336295737857,0.050672154195757504,1.5279132803994293,0.7258007431123337,0.7121182981571328,0.2968382805343861,0.24541115342978048,0.6869975473793528,0.2411779159086072,0.5700416316584539,0.8223304688111321,0.04703092329375893,0.8329437847799962,1.6549205383979153,0.5805100063278357,1.8584298429900628,0.819995588799717,0.9878454148711984,-0.5527,0.6097,0.9017
0.18713976758723244,0.6341595397497238,0.8109654795880513,0.4162772123113888,1.3030997954749997,0.30476193538429736,1.2272988956895319,0.9908651703170264,0.006572477989547144,0.41121207935731463,0.19731887117607028,0.07729057971444338,0.8590117340651969,1.61091138836453,0.5743876677316081,1.9261310918089904,0.7845267981502945,0.9666405704009311,-0.2375,0.9236,0.0289
0.0593464819533338,0.42676997760170865,1.5543824841038998,0.4857211915997529,1.2330330744889235,0.29496269977738576,0.0136206623115738,0.9159061804181593,0.18629784203440788,0.19820796464610943,0.8267163388118315,0.08545427058530322,0.8196379426160888,0.037390338652310444,0.650765437118555,1.8523541709396114,0.8263329171181628,1.793415787014673,-0.4602,0.7697,0.4274
0.4291370678193596,0.6384827423424415,1.877727369368893,0.3398650053876781,0.24120290143087364,0.2915789536713946,1.225309246339427,0.9540954520413572,0.03695062520170478,0.6290365298616044,0.7800146574593027,0.009959466363571992,0.7452447823746152,0.47158175444379724,0.6438932679988117,1.0605969243733542,0.9668416253527341,0.04624156279712288,-0.3111,0.8487,0.1221
0.39746652560546397,0.9365064366399977,1.7784811741187905,0.3844400052465868,0.6850179167587404,0.29686519471762235,0.01303943826411513,0.9747868593642464,0.1613314701254383,0.5755410170399338,0.7976854192174055,0.07788872361912905,0.8152341941243456,1.7499043530798144,0.625812785558657,1.8621063465611387,0.8019145675795345,0.022156485953492316,-0.3236,0.7577,0.2729
0.08563270616724081,0.9819220825062598,1.8360690977326182,0.7172498952515205,0.6850179167587404,0.2967975004195484,0.010610572416757558,0.845038361233663,0.16693751087162653,0.3991227861729895,0.7973677975469766,0.014871420614808055,0.8202680192073123,0.7609357719877138,0.650468020798166,1.935602941520339,0.8257934155175388,0.42146874942194784,-0.5443,0.7695,0.518
0.16205856223074186,0.15880535449058175,1.2408125817690658,0.33649348021019937,0.9467090863609949,0.29482935320993386,0.014467785612910799,0.9415900712251452,0.18605094937124284,0.12662952731857086,0.8264091340903544,0.04119938215253437,0.8303953679523352,0.24339541305715362,0.5807576575407547,1.948364268023333,0.7867083560791895,0.5066446213924232,-0.36,0.7191,0.4759
0.33773183549089897,0.9189760391876003,1.2241004604368766,0.6105736302736724,0.9964070044905333,0.29742129711063947,0.980259480835434,0.9408202773553229,0.03435853019477672,0.40576924964250616,0.7992397138691101,0.007619432139269088,0.8836261945309579,0.7608480521066168,0.5604946594743221,0.39076204690724825,0.8245206558042345,0.06579494722781229,-0.3514,0.8317,0.2401
0.28480649427661503,0.1253346006164675,0.9066360359457826,0.48000792284685556,1.2343039402158227,0.29663461225822657,0.3098599697466353,0.6821227328906162,0.2411924920028589,0.5810110634598022,0.8060194861173353,0.04106704919911411,0.8402924622900498,1.2701026962739268,0.6806587588372481,1.8799320834893498,0.9403800665657424,0.9380535292901018,-0.4762,0.6288,0.8259
0.3948569906784241,0.6264802118504179,0.45151934415065254,0.37259316594295444,0.6640305507368945,0.2960297552517964,0.010418539620162315,0.9349877745892377,0.08321649574341027,0.5767211641233185,0.7984666610192567,0.008698862674205117,0.814969119095283,0.04877662589927221,0.16588147614426496,0.36612327482957485,0.446127337680526,1.781370860348639,-0.3461,0.7975,0.2315
0.02054295777132925,0.888579275499008,1.92479636529771,0.46200221215890647,0.6716319671075468,0.3206788796898618,1.2694888538201783,0.24581972350886871,0.018138875717855676,0.6395452581105429,0.7868338888820194,0.01263827073717142,0.8199744346017096,0.1027881997132391,0.7039495600470884,1.6374031362368,0.9862560655585075,0.011557128965612451,-0.3288,0.8755,0.0655
