,Q_C,Q_i,cannonsville_storage_pct,T_C_mu,T_C_sd,T_i_mu,T_i_sd,Tavg_L_mu,Tavg_L_sd,T_L_mu,T_L_sd,thermal_releases,remained_bank_amounts
1979-01-01,38.7789474072,280.68753049535803,55.71907864317098,3.0559385,1.0730425,-0.010444999,0.82810664,0.36177284559014783,0.7391526533636662,0.804123180129522,1.2055378883218197,0.0,4860.0
1979-01-02,38.7789474072,2160.444930495358,63.861141662228505,3.1633577,1.0395312,2.283328,0.7907822,2.298845632766027,0.7770545761374257,2.833781424980339,1.243420354798748,,
1979-01-03,38.7789474072,4513.705930495358,69.64293330487337,2.1124365,0.9055152,0.22038674,0.33702242,0.2365035898929415,0.33424061778079994,0.6728664822215179,0.8006272586661586,,
1979-01-04,255.5128974072,3020.7745304953582,71.49620915871746,1.8149862,0.9175765,-0.12788665,0.26964867,0.02363518091876687,0.25871293782469224,0.4498236909526317,0.7251020089328575,,
1979-01-05,228.1173274072,1753.245330495358,72.41072502991275,1.7510393,0.90521115,-0.28225338,0.28778055,-0.04815727726062271,0.2751491115180636,0.3745997986825086,0.7415390139314952,,
1979-01-06,92.9431774072,1371.9342304953582,73.0672511338908,1.9363753,0.8939411,-0.021355152,0.28846005,0.10285844012086497,0.2760476241047148,0.5328335511334262,0.7424357847037595,,
1979-01-07,104.4664324072,2162.897930495358,73.64082447635045,2.2657595,0.97037804,-0.042040348,0.28470752,0.06428910540664634,0.27524532530423096,0.49242073406254305,0.7416339282824039,,
1979-01-08,308.4431474072,5758.203430495358,75.74902868761407,2.4249916,0.8584912,-0.09931946,0.3252023,0.02902268952510824,0.31173898213903406,0.45546870405407935,0.7781279911014134,,
1979-01-09,722.2798474072,2692.3577304953583,76.59987584558615,2.0683007,0.7649744,-0.5347707,0.2382432,0.01584292001850423,0.2479314097058135,0.44165898661784786,0.7143205707576836,,
1979-01-10,431.5173774072,1181.419030495358,77.0689978206951,1.9965458,0.7601329,-0.937533,0.25674006,-0.15256345359561826,0.2769841104378011,0.2652033640133598,0.7433752323166112,,
1979-01-11,331.91334740720004,1028.782030495358,77.36016048835694,1.9041678,0.7741258,-0.8195075,0.25110984,-0.1551235297453727,0.26777433256077154,0.26252092497482965,0.7341654844978485,,
1979-01-12,277.4978074072,841.959530495358,77.55879907033435,1.9567845,0.7491065,-0.75899136,0.25033665,-0.08578853501256907,0.26444639124720415,0.3351698954460386,0.7308367317576658,,
