weight_0,center_0_0,basis_0_0,center_1_0,basis_1_0,center_2_0,basis_2_0,weight_1,center_0_1,basis_0_1,center_1_1,basis_1_1,center_2_1,basis_2_1,weight_2,center_0_2,basis_0_2,center_1_2,basis_1_2,center_2_2,basis_2_2,weight_3,center_0_3,basis_0_3,center_1_3,basis_1_3,center_2_3,basis_2_3,-Jrel,Jadd,Jtubr
0.7127311267088615,0.8196696512997755,0.00693346416668027,0.8288904253385309,1.7208330098164184,0.0400566959622094,1.5631406582798661,0.4899866171484548,0.3430501677660695,0.5425210639601393,0.13279712933059976,0.02403104390085556,0.31549588205516965,1.0465162157631156,0.7047837611846424,0.003537275017967856,1.2995436671164442,0.05128587505419524,0.011186159537042543,0.06917832329524856,1.3980971822673962,0.854191825166484,0.04697359156982876,0.7813106039893842,0.8561286542434748,1.0658527816609944,0.42484613173109376,0.0435483083099906,-0.2211,0.7598,0.0698
0.63917580653806,0.8692552890745351,0.05556512497833712,0.8845050115241335,0.975708021800505,0.9991961158025289,0.5351439689809674,0.01202066244413362,0.9631706261035512,0.4281445222901993,0.009314580759812676,0.07307757389310596,0.4868605769988412,1.0163755841933635,0.00207160261537662,0.6777621223702898,1.4521572114466497,0.6964748685320712,0.004968893624937953,0.7459965636562669,1.1420103748624888,0.007119609423342987,0.06833001547987713,0.07741594336612251,0.8468480841679882,1.2171191779661874,0.4109797703690739,1.3688653867385752,-0.9,0.5999,0.3986
0.7255072995494111,0.7998669142696836,0.00581055729056236,0.8978568698157108,1.5845419125105324,0.22438441104021833,0.7506443852346764,6.068397347940013e-05,0.7599884917982984,0.31086562993134415,0.048211398942368755,0.08521962190913304,0.4904129741698265,1.6543403613460321,0.3721751061890257,0.779259307294369,0.595281494329922,0.6597146710652405,0.03351454778988013,0.5203995123296864,0.5430291205167183,0.7744408661313281,0.004132274875095085,0.14269954897522827,0.854902685604384,1.9913853824168266,0.12726114575920439,1.8047049407582845,-0.3474,0.7757,0.0581
0.5804692064026643,0.8911704889067845,0.01184160869852663,0.06260023820447308,1.2070027574704114,0.26028875701598647,1.5163157424472433,0.05271465681789318,0.5784902571650432,8.207461163481085e-05,0.7951346431172656,0.092678391277938,0.31161083501870795,1.619585608875863,0.9648170875716571,0.18627586178054828,1.8793221216260507,0.7631542141435659,0.09414778554409502,0.31131665834954864,0.7782848617976713,0.9875173180824626,0.8456528011398984,0.06670367137598018,0.5638021717080339,0.972874777090875,0.9524777074239403,0.3794929026854577,-0.7583,0.58,0.4283
0.2110489336974607,0.8191442780845873,0.00278524540470392,0.8119670936506499,1.4159897662627148,0.27386493927855154,1.8362419452655112,0.4950040617442517,0.3184727207280691,1.4477402531145018,0.07673942340594177,0.04424892045869119,0.6092297090817241,1.1733990904808498,0.0051017418306870685,0.1465780059227788,1.5344645410869706,0.08153737545995249,0.00035329591012841013,0.8123210158850847,1.5038038785746537,0.8770315148581358,0.052528032103906774,0.07497736962971971,0.5722382852975514,1.329441622697242,0.798591105576061,1.3907658217014713,-0.2211,0.7897,0.0186
0.6467087574349887,0.8691605246781555,0.05606984063111428,0.8213778715953814,0.6849844207404814,0.9650288206301725,0.5604654149887561,0.004154607745572039,0.9103041288246457,0.4210574743441082,0.15813568832624647,0.0011896623469368484,0.4698990872052418,1.8002294285452458,0.010302155437064184,0.6456649862174362,0.4490463415189302,0.012506610450188749,0.0021551028232376897,0.9001983167506216,1.3840369969415227,0.0025973484238967504,0.09647942889988306,0.09374147203252757,0.01629531506201959,1.0338965194412704,0.9744884073677642,1.1902673788977023,-0.8921,0.6099,0.3763
0.2352204290347562,0.8165083979624468,0.006563604554420205,0.12405022040133087,1.9011105290719288,0.9897550485038491,0.7828355555700518,0.4756388377949581,0.9101620351440295,0.3292844700075149,0.04941962705631553,0.021847037161306135,0.31136850441937614,1.5992031958985824,0.02504588815918953,0.5936096035028966,1.471669714465718,0.7633601684541083,0.008053439816540714,0.9860295774290069,0.7541262739288922,0.01172850472820341,0.07613818725214079,0.07808158147990837,0.8943926591299982,1.0864252017103393,0.5211041635452643,1.5838637885851554,-0.3375,0.7298,0.1275
0.6385735535532786,0.8138970892014938,0.015955623491893167,0.5958609948335658,0.700212225537993,0.7543307922458704,1.6026293832854797,0.997535170508508,0.2468644386461582,0.5972132699306939,0.7540981213035728,0.08364779476788348,0.3634158727456261,1.2975729151227473,0.9763122862841953,0.15496944015196368,0.5752451541076012,0.8872863381612577,0.03964027737763609,0.6510909741393677,1.1639146296528864,0.9408681787266919,0.880524638173534,0.06263471839541221,0.8655041267316566,1.2229608764103799,0.9976699241151701,0.044422814190861554,-0.4381,0.6991,0.1887
0.13577058431806027,0.7953256388966763,0.00023158361962922471,0.003992617948987472,1.257115130592235,0.8645340315075235,1.8132592735259685,0.48454706731004704,0.9765018112356671,1.442090406388897,0.10593002372068328,0.11024674527828379,0.5982146495974803,0.05826361371658473,0.6737359200141011,0.6777745762437656,0.5761363709139999,0.9685499850259282,0.008217259285811258,0.8750492974640611,0.5901998172840863,0.007431584008566543,0.036356624541154986,0.34188194252336307,0.00034737427380966083,1.5111771955177198,0.0515247972040867,0.023809455432707904,-0.2327,0.7998,0.0065
0.13436899250000597,0.7997912876123455,0.006402800227040581,0.7475175268197845,0.7667199511966459,0.16307880876094116,1.9425865384822654,0.46527657755651985,0.8325777162262966,0.011654281040149678,0.02242541744827689,0.04672556731594983,0.46132871346747295,0.8880126424119058,0.014991420473384962,0.12782842918944498,0.2083538023715037,0.889638517541609,0.06358554825249872,0.0464761222482246,0.5086956228638752,0.004773419114697891,0.04596514932780166,0.027652489802030063,0.09278887528935366,1.9588030104922003,0.5352530823656488,1.194893772589682,-0.432,0.7691,0.069
