weight_0,center_0_0,basis_0_0,center_1_0,basis_1_0,center_2_0,basis_2_0,weight_1,center_0_1,basis_0_1,center_1_1,basis_1_1,center_2_1,basis_2_1,-Jrel,Jadd,Jtubr
0.3560637981528565,0.8322708070657798,0.3260973290913576,0.758906211418952,1.443892517547313,0.5718761501040218,0.23404406778703682,0.03709092176038102,0.027315706761239913,0.4018773232498294,0.3103053705680921,0.44325380621538735,0.876123276964313,0.30943262176053776,-0.3143,0.8785,0.8483
0.3469974794730579,0.992792724339162,1.7454430731950688,0.11682469692506936,1.4380638047210956,0.6303742129514139,0.16402314207625504,0.03373884225905849,0.3330040239342501,0.417346743567271,0.06307716794705395,1.9903915768080236,0.8770266151995947,0.3184936556781532,-0.3405,0.897,0.7093
0.4407166141030753,0.9906495313653045,1.78257433062167,0.21266232254224826,1.7834029523575354,0.8624828300668792,0.061120473323791814,0.005665859642835145,0.15957012952497193,0.4279507955918912,0.3891464232781395,1.8466291433412048,0.11316819189481173,0.03838363710480394,-0.3133,0.9598,0.2779
0.3437199032211089,0.9916171406993147,1.8250583445612047,0.1409142581976908,1.9197369870458103,0.6405831144901952,0.1551347360321186,0.030510410303749708,0.35883834366915285,0.42465151425106173,0.1346890631159577,1.0363559537677145,0.8774171051191735,0.35614790740497676,-0.336,0.8998,0.6866
0.33991061671169254,0.8343077028766338,1.024735069997267,0.22859462022289773,1.2153075505182616,0.8314171994243233,0.07660129676221467,0.0013341237899118195,0.1103136786017873,0.7111867325440704,0.8281097628390918,1.55659690667275,0.015666749564853207,0.3243722512789597,-0.3141,0.9496,0.3399
0.3848231582401374,0.6092550633829624,1.4042416561362758,0.6481464659066717,1.5044110268827675,0.9074739439882281,0.039240791306177684,0.0017720809580754789,0.0897554630300702,0.34719035468545095,0.7711666358567697,1.4861192244657393,0.18386541074569768,1.7109018940584175,-0.3271,0.9738,0.1885
0.10406820618176559,0.9743301230149785,1.669908255796014,0.4355069415593239,1.1628781447348353,0.8851054806947751,0.04987919800163077,0.000178503389982077,0.16493175029945095,0.2806370712404399,0.4081999106779651,1.6203105563757918,0.16801473972659448,0.03297213497465429,-0.3179,0.9666,0.2322
0.5269223892240575,0.6254088458556197,0.6956477150877669,0.5514161863153513,0.8721604342899453,0.5446409890019102,0.2502838778038614,0.2398774314835504,0.6166249594000762,0.27346244972416667,0.8314778241651286,1.6214059549597384,0.1268044679072769,0.5590567942660222,-0.3355,0.8535,1.0
0.4540739471231726,0.8303402925197907,0.15447291941024957,0.27797143916565065,1.0078035764709263,0.840159721164974,0.07466935085440395,0.005774934883845875,0.17917974167074685,0.4406180834140072,0.1062967619174851,1.0761672198619348,0.0593310610648647,0.26783348079567526,-0.2135,0.9438,0.3145
0.3418204431057137,0.7991808080315549,0.24282705071750388,0.24379291643255446,0.6934368411353459,0.7229120342157758,0.13559458810007335,0.0,0.11373804454134667,0.5609166494036151,0.8677078979208256,0.7459684139489289,0.08427407304368824,1.2294241838839952,-0.2062,0.9099,0.5468
