weight_0,center_0_0,basis_0_0,center_1_0,basis_1_0,center_2_0,basis_2_0,weight_1,center_0_1,basis_0_1,center_1_1,basis_1_1,center_2_1,basis_2_1,-Jrel,Jadd,Jtubr
0.5076157762370799,0.7968894664228681,0.00010605292377651268,0.10001353520661194,1.481597475798028,0.22892859368432095,1.1565429966949634,0.1201193274800686,0.9499163888605018,0.23534227615739403,0.13985078120000854,0.09431978621091003,0.021020861391725917,0.1185662764751014,-0.2018,0.9996,0.0019
0.47212188374434066,0.7950253139669201,0.0021637133019506358,0.16672685172559495,1.0794306102243643,0.889008759233598,0.7553306901488914,0.0031625358054703256,0.9568966474637959,0.16445060082160146,0.05269519105428054,0.3074635232341679,0.011914136507655049,0.14192472314326243,-0.217,0.9699,0.1377
0.5038660395161021,0.7816094255165107,0.020029665476133107,0.3710615399353604,1.0686444236724426,0.9010930804235671,0.06200889259532599,0.004058555343760609,0.9523743747442852,1.4833038868586237,0.901455994774736,1.5341482341984356,0.3085671945816789,0.18521879936011246,-0.3183,0.9671,0.2228
0.924524600367184,0.7950253139669201,0.0023279948137406963,0.267036046796608,0.9558271961779616,0.8874247006974627,0.7626117500598603,0.0034778522679681447,0.2512362921762307,0.19372630196448717,0.9479820554692244,1.0363239861363172,0.0012865399391664373,0.16261760017348487,-0.217,0.9499,0.2277
0.45756489755489477,0.7949688389340541,0.0022781306598361325,0.3690701487624995,1.5499096447166478,0.9863361384891907,0.3223966601132411,0.011469668939367586,0.9516117718327534,0.11681311172970033,0.11039423713996643,1.0861834020399812,0.4116221604430168,0.008766353081549674,-0.217,0.9594,0.1824
0.6607637847205263,0.7967928662247865,0.0003141937380748516,0.6432757267712603,1.4362568751814333,0.894716732526524,0.7398273963275275,0.12246688074736392,0.9081496777554041,1.2547373490458118,0.2869264815855667,1.110475309165885,0.0023816829478199375,0.1462529378006655,-0.2018,0.9799,0.0848
0.8163163643989562,0.7949677039890842,0.003276817716981099,0.8598814806565986,1.5899608237581853,0.8897261186676635,0.3704607202822714,0.0036611666047588675,0.26106322802623266,0.19136291120486215,0.8962086905895237,1.0263921380280139,0.32562698488103003,0.15166341220189916,-0.2222,0.969,0.1711
0.26305632904708764,0.1589048551425703,1.3254302837777858,0.4217610870072993,1.4870396375333845,0.5955200861479324,0.20844950774303675,0.29364203342554207,0.7754968243594041,1.3325131453458068,0.1997161726932312,1.8054591998408678,0.7298542956316817,0.13358287141089964,-0.3122,0.8894,0.7486
0.5887933901019379,0.7085599276955612,0.11082824818400583,0.19308695643979287,1.93133602525196,0.6039357283860695,0.21480383708670256,0.9224809555825213,0.9283429933862067,0.782961014909765,0.5122645587179584,0.9641908460211339,0.7275913251754481,0.1335489932266976,-0.3,0.8899,0.7291
0.26305632904708764,0.1589048551425703,1.274375242839609,0.17330746240292383,1.4859132210527282,0.5955208998819482,0.2066313475785786,0.5354096737835268,0.8083211642416073,1.7257802380734426,0.5590179764104584,1.792036739896735,0.7298542956316817,0.1342537717459469,-0.3267,0.8989,0.7185
0.5887933901019379,0.820966832049205,0.11082824818400583,0.37836133281315554,1.171932696232995,0.6032085685256817,0.21480383708670256,0.9226386162739288,0.9070551062715471,0.782961014909765,0.4926376143142667,0.9852001731449669,0.7275913251754481,0.13320090200638718,-0.2127,0.8998,0.6532
0.5021922251091586,0.6753493537370463,1.2281104036936876,0.09315254203671186,0.9347382887773923,0.4317188792470178,0.3128086664122155,0.01135244862530129,0.45120027671290996,1.6908241630627796,0.5565047398108302,0.5771245412017295,0.016614148949927764,1.565533403518036,-0.3292,0.8576,1.0
0.81093777758324,0.770095643455488,0.04057549763902646,0.3478651041798228,0.4359428070543491,0.5137562589984751,0.35304081014938293,0.9014770115372714,0.9143560383838694,1.22979500545963,0.3650208656594671,0.5793860124717977,0.5679398149817293,0.2545525948674708,-0.3412,0.8886,0.9594
0.26917657687650137,0.15879490543582245,1.8072286370499473,0.25737974786488493,0.5347309823656469,0.5961626015379207,0.24389388538672543,0.6822821761504667,0.7752776667303611,1.0928055276953363,0.1509346696899586,1.0563624740526507,0.5652348419014164,0.22195424036121916,-0.338,0.8882,0.8659
0.4150041372080554,0.1471011381629858,1.1887913226659423,0.36061952967410266,0.9248848416758225,0.6019441392160034,0.20774986175821572,0.9577265995164332,0.9345232546632047,0.8136291334753188,0.5107047755168458,1.5487029264784613,0.7298542956316817,0.13358287141089964,-0.3073,0.8999,0.7022
0.7805047496649481,0.770095643455488,0.04057549763902646,0.3478651041798228,0.44871568820368946,0.524942310709118,0.35304081014938293,0.9014770115372714,0.9143560383838694,1.22979500545963,0.3650208656594671,0.5793860124717977,0.5679398149817293,0.2545525948674708,-0.3533,0.8929,0.9567
0.8497020087320595,0.7807040212941934,0.004069516513925245,0.2168107395939133,1.5376588177885633,0.8906994358065564,0.3682518899153048,0.005167735247709328,0.8021366983184511,0.10607997367991628,0.8684189915350683,1.4961902600476444,0.939643481952992,0.021482740113253754,-0.3101,0.94,0.3287
0.8623259855895155,0.6819043376315812,1.0005725007830308,0.1519167513233381,1.0477837361006874,0.8554874918129439,0.06472040574254478,0.0034696295593224236,0.4927431141242252,0.12182691064470587,0.8326317197253535,1.0815555928625236,0.9212184079764659,0.18270840133031022,-0.3341,0.9592,0.2936
0.5065456387486953,0.1735023602426058,1.160279075629107,0.4060922747957735,0.5381088559247197,0.5746720815174926,0.2482872473688864,0.6731083604236732,0.5128024943406144,1.1543769229010246,0.3740906997120719,1.2858292462668872,0.5136050598122527,0.25181523554208163,-0.3192,0.8695,0.938
