weight_0,center_0_0,basis_0_0,center_1_0,basis_1_0,center_2_0,basis_2_0,center_3_0,basis_3_0,center_4_0,basis_4_0,weight_1,center_0_1,basis_0_1,center_1_1,basis_1_1,center_2_1,basis_2_1,center_3_1,basis_3_1,center_4_1,basis_4_1,-Jrel,Jadd,Jtubr
0.0,0.7556425994250829,0.9793454896125066,1.0,0.9548469379095657,0.48181789992728224,0.8892352984239182,0.9703283523272186,0.27514637514871065,0.5224949889753081,0.2626327351718675,0.0,0.13226681443898994,0.6895709306490708,0.206423383281197,0.6783628319891631,0.5358110722525202,0.7229970519520931,0.6641321728091556,0.3316504132836762,0.6642094241486576,0.4142921151305105,-0.2375,249.5967,0.0
0.4369980354227146,0.6588380291408301,0.9998106035021143,0.026961523376366387,0.9812045425641389,0.06007819622710808,0.9306543558308271,0.8703899773770863,0.9781168062614451,0.6079573485357429,0.4646697787977393,2.9828387547831188e-05,0.2856571169832002,0.7107390738093392,0.04517336562311322,0.7128633742844078,0.07833914015997205,0.6187947732628329,0.7182346916072979,0.7110140750671357,0.6518409400215182,0.5573002558587754,-0.3189,225.8274,0.3999
0.4292275075608653,0.5785036692131023,0.9996601976816286,0.030109228498381876,0.9980667641243811,0.00691249862510355,0.9145261257729634,0.8962219785477828,0.9801194937271122,0.6356877243465837,0.3036864178787515,7.655909829479996e-06,0.3929753813904148,0.6850586346243362,0.020975188382713953,0.4720473500554189,0.02262577720303231,0.9138861875819982,0.7546806506274657,0.5212800795048671,0.6413377310811633,0.5609141938986131,-0.3407,235.2781,0.406
0.048729927812789106,0.6454025499890687,0.9992107763274213,0.0354965965235534,0.97665048413301,0.04993824544728756,0.9256808706108901,0.8718012176495528,0.9414444274047513,0.6013444935170219,0.5476058810156365,1.1174699603253176e-05,0.41437204302377906,0.8988213419109975,0.006328630617412213,0.7227334852656049,0.38760181711002034,0.7061105863959359,0.6891573235991612,0.9765421570975046,0.6287070540029399,0.39991888290971644,-0.3224,227.0885,0.3686
0.07269565564875856,0.6721616226502747,0.9891689373283719,0.02398980227348257,0.9686572020579307,0.049573897158207605,0.9346380902622518,0.8490683359375537,0.9585801580400287,0.6343294297309431,0.31813092142990906,9.872637047672953e-06,0.41491523720567713,0.8259639187646569,0.02811595830573896,0.6817317239185302,0.03967487719684538,0.6989520441933755,0.7427795566142286,0.3600292742857778,0.5481567621187577,0.4337736345627948,-0.3354,222.9687,0.4899
0.4757452193566232,0.5894862721269708,0.9998739079136815,0.03821838525874043,0.9593463521146566,0.05658147669228805,0.9381395545375549,0.9238042919548396,0.8617550063233177,0.6105674806557873,0.24713138045948105,6.223120214529554e-06,0.7668846018117556,0.9837318416784759,0.05115125190946851,0.9422003792629696,0.005422384473174134,0.642812250395638,0.16452071105623292,0.7490852559807856,0.6665144373026827,0.4053203769910003,-0.4506,213.662,0.6398
0.39456291424853573,0.5404115124228571,0.9989284244276553,0.03028947786629,1.0,0.057453931649215736,0.9164831626658371,0.815250873777728,1.0,0.6374276294708601,0.9801325303402992,1.2381064378829874e-06,0.6533743537829062,1.0,0.3201023680471393,0.47258685095364994,0.022204216746802164,0.7152732456123262,0.6473524553345871,0.6867562687673362,0.6151946932732212,0.31543965790893974,-0.2372,245.042,0.2299
0.46539086171854094,0.6125044718497217,0.9980783478337379,0.025937361909737618,0.9282284627795178,0.01694723844500492,0.9415833633936561,0.8791518181470919,0.9775681525114798,0.6176024554211437,0.3026477740370592,9.815399125551965e-06,0.3207227095316547,0.9298334224724437,0.07176501877283245,0.465129931921983,0.705283802865372,0.7202394786757054,0.6599171593315423,0.8047891734760075,0.86539970980347,0.5933435802626048,-0.351,231.3039,0.47
0.4656533456470695,0.4681516140859122,0.9993381832015801,0.027478489429609797,0.9922691826792661,0.05041930656919125,0.9803559860081561,0.8358018201219758,0.9859152294919755,0.6084659042208652,0.4924220008742499,5.635737088635549e-06,0.804103691230889,0.34383856968500515,0.1642455045819297,0.36209231927899277,0.059420814670239075,0.8246482914943116,0.62719095936305,0.6638621721739988,0.5702529123099852,0.44485588106097573,-0.2426,244.6911,0.279
0.404184996871506,0.07786813149317734,0.9990808960712634,0.026310848378925743,0.894917629744703,0.04037585718982927,0.8973406849413715,0.8702897157784738,0.8771358723324265,0.5597529376402541,0.10130081884915441,0.030472688983751325,0.14410008109222788,0.6634462344080826,0.0681375675523008,0.9411168320162464,0.04284182778514506,0.951893420215157,0.7763302810776928,0.6845789640268323,0.5822806620287863,0.2973101299928179,-0.5407,169.8151,1.0
0.47079713494517794,0.4837363905383732,0.9992180915140241,0.0001586255236355992,0.9351555485815353,0.044125850141502956,0.8978212760163968,0.838325554739599,0.9886614377108189,0.6022402074214861,0.808890900336112,1.223355906420285e-05,0.6460846508504681,0.563316492744298,0.06491688099976801,0.6465307764502058,0.24580473905222713,0.6281491072193426,0.1897139563666922,0.8522465083714055,0.6654033766465808,0.4043618956558782,-0.2426,246.0008,0.2361
