,epoch,loss,val_loss,time,val_time
0,0,2.3129613399505615,9.783408164978027,0.0794675350189209,0.032172441482543945
1,1,8.301877975463867,4.196305274963379,0.099456787109375,0.03545880317687988
2,2,3.796743392944336,2.5843892097473145,0.09546756744384766,0.030679941177368164
3,3,2.5159811973571777,2.4189884662628174,0.0892026424407959,0.031691789627075195
4,4,2.3895225524902344,2.3265764713287354,0.07963442802429199,0.031789541244506836
5,5,2.6421632766723633,2.1776888370513916,0.08503317832946777,0.034055471420288086
6,6,2.2001683712005615,2.28660249710083,0.09363675117492676,0.016045331954956055
7,7,2.3477537631988525,2.251384735107422,0.09631824493408203,0.03236532211303711
8,8,2.2475061416625977,2.256601333618164,0.07972383499145508,0.031659603118896484
9,9,2.253178596496582,2.188528299331665,0.09580659866333008,0.03135514259338379
10,10,2.2059943675994873,2.2108592987060547,0.08004546165466309,0.03190755844116211
11,11,2.225562572479248,2.1812915802001953,0.10016202926635742,0.027803659439086914
12,12,2.1462855339050293,2.2470169067382812,0.0965580940246582,0.03226637840270996
13,13,2.124211072921753,2.2968294620513916,0.07983183860778809,0.03183579444885254
14,14,2.0824081897735596,2.2972323894500732,0.11114096641540527,0.021770477294921875
15,15,2.0973293781280518,2.2816061973571777,0.11136412620544434,0.03211855888366699
16,16,2.033245086669922,2.246089220046997,0.07788515090942383,0.034740447998046875
17,17,2.056647300720215,2.174837589263916,0.1118624210357666,0.04814863204956055
18,18,2.012604236602783,2.1673150062561035,0.11033868789672852,0.04535365104675293
19,19,2.010338306427002,2.1511826515197754,0.11952638626098633,0.041634559631347656
20,20,1.9847913980484009,2.2024729251861572,0.11507344245910645,0.04381871223449707
21,21,1.9688664674758911,2.201493263244629,0.09574604034423828,0.026020050048828125
22,22,1.9637466669082642,2.1781349182128906,0.08723592758178711,0.021801471710205078
23,23,1.9115983247756958,2.1588971614837646,0.09438872337341309,0.023931026458740234
24,24,1.9333819150924683,2.0801451206207275,0.1023106575012207,0.01619577407836914
25,25,1.8969792127609253,2.0575833320617676,0.09471821784973145,0.033620595932006836
26,26,1.928308129310608,2.094285488128662,0.07736039161682129,0.033141374588012695
27,27,1.883653163909912,2.0983829498291016,0.07889509201049805,0.03184247016906738
28,28,1.8589400053024292,2.1082706451416016,0.0664975643157959,0.029339075088500977
29,29,1.8337364196777344,2.1557836532592773,0.1113729476928711,0.027391433715820312
30,30,1.9049006700515747,2.100224018096924,0.0831918716430664,0.03129863739013672
31,31,1.8320282697677612,2.1067261695861816,0.0846865177154541,0.03316187858581543
32,32,1.871477723121643,2.16713285446167,0.1038961410522461,0.015932559967041016
33,33,1.8115777969360352,2.124112844467163,0.0949854850769043,0.031407833099365234
34,34,1.7912646532058716,2.134308338165283,0.09488964080810547,0.040975332260131836
35,35,1.7924925088882446,2.1953837871551514,0.07697892189025879,0.024350404739379883
36,36,1.7833352088928223,2.1411662101745605,0.11121678352355957,0.027671337127685547
37,37,1.7797185182571411,2.126103639602661,0.0872495174407959,0.027895450592041016
38,38,1.7399102449417114,2.1581006050109863,0.11076712608337402,0.025857210159301758
39,39,1.7819777727127075,2.0843825340270996,0.09224939346313477,0.024097204208374023
40,40,1.8402435779571533,2.061378002166748,0.09491372108459473,0.031688690185546875
41,41,1.784416913986206,2.1160643100738525,0.09469795227050781,0.015685558319091797
42,42,1.7561249732971191,2.0075225830078125,0.09541106224060059,0.0444188117980957
43,43,1.7526737451553345,1.9672658443450928,0.09208297729492188,0.023961782455444336
44,44,1.7241542339324951,2.058905839920044,0.0840914249420166,0.027460098266601562
45,45,1.7589057683944702,2.012831687927246,0.11089634895324707,0.037331581115722656
46,46,1.7059212923049927,2.025282144546509,0.08780908584594727,0.031970977783203125
47,47,1.7087385654449463,2.0841565132141113,0.09540200233459473,0.01597285270690918
48,48,1.7044541835784912,2.0131478309631348,0.09537887573242188,0.031789541244506836
49,49,1.6859253644943237,2.0019679069519043,0.09513711929321289,0.031796932220458984
50,50,1.679710865020752,2.066192388534546,0.0955352783203125,0.03198957443237305
51,51,1.6631920337677002,2.0275919437408447,0.07860827445983887,0.03354835510253906
52,52,1.6782268285751343,2.018996000289917,0.061652183532714844,0.047693729400634766
53,53,1.670640468597412,2.0668680667877197,0.09086465835571289,0.020926713943481445
54,54,1.670756459236145,1.965853214263916,0.09535694122314453,0.03131842613220215
55,55,1.6586025953292847,1.9490948915481567,0.0951070785522461,0.01588296890258789
56,56,1.628119945526123,1.9961875677108765,0.10508394241333008,0.02186298370361328
57,57,1.653334379196167,1.9112566709518433,0.1969740390777588,0.02406144142150879
58,58,1.6257272958755493,1.9077461957931519,0.09501838684082031,0.03145933151245117
59,59,1.6289489269256592,2.0046491622924805,0.07922863960266113,0.01601243019104004
60,60,1.64303457736969,1.9450875520706177,0.08481526374816895,0.026670455932617188
61,61,1.6455777883529663,1.9244037866592407,0.07957744598388672,0.0339813232421875
62,62,1.6183818578720093,2.0101377964019775,0.09319543838500977,0.03529810905456543
63,63,1.6406667232513428,1.9662264585494995,0.09091973304748535,0.032196044921875
64,64,1.630676507949829,1.9529731273651123,0.08227229118347168,0.02784132957458496
65,65,1.6140592098236084,1.9650499820709229,0.09172987937927246,0.026877164840698242
66,66,1.6020288467407227,1.9584009647369385,0.08603787422180176,0.016112804412841797
67,67,1.6315665245056152,1.934497356414795,0.09432220458984375,0.0318756103515625
68,68,1.5883158445358276,1.924696683883667,0.09860825538635254,0.02771759033203125
69,69,1.5942206382751465,1.9057122468948364,0.09542369842529297,0.031617164611816406
70,70,1.6063828468322754,1.9674298763275146,0.0951235294342041,0.03164100646972656
71,71,1.5820199251174927,1.9641824960708618,0.07856893539428711,0.031877994537353516
72,72,1.5568127632141113,1.9351273775100708,0.07933449745178223,0.01603555679321289
73,73,1.585976481437683,1.974165678024292,0.09601116180419922,0.031890869140625
74,74,1.5753400325775146,1.9257876873016357,0.06349849700927734,0.03180265426635742
75,75,1.5645701885223389,1.8976484537124634,0.11000943183898926,0.03172421455383301
76,76,1.5678036212921143,1.9398822784423828,0.0986936092376709,0.030306577682495117
77,77,1.5511727333068848,1.9660067558288574,0.07689452171325684,0.03182387351989746
78,78,1.5616377592086792,1.908996820449829,0.08332562446594238,0.02812647819519043
79,79,1.555443525314331,1.9216701984405518,0.09761333465576172,0.014137506484985352
80,80,1.5510667562484741,1.9221673011779785,0.09601211547851562,0.0319063663482666
81,81,1.5389574766159058,1.924983263015747,0.07621049880981445,0.031888723373413086
82,82,1.53778874874115,1.9674100875854492,0.09180688858032227,0.021201372146606445
83,83,1.54731285572052,1.91427743434906,0.0909566879272461,0.033545732498168945
84,84,1.5340380668640137,1.952146053314209,0.07923316955566406,0.017390727996826172
85,85,1.527161717414856,1.9063791036605835,0.09375333786010742,0.016016006469726562
86,86,1.5093799829483032,1.9283320903778076,0.1093900203704834,0.02579212188720703
87,87,1.5259329080581665,2.033602237701416,0.0908658504486084,0.023055076599121094
88,88,1.5521866083145142,1.953538179397583,0.09575986862182617,0.027884960174560547
89,89,1.5710844993591309,1.9607292413711548,0.1014103889465332,0.023517847061157227
90,90,1.5286952257156372,1.9609869718551636,0.09365153312683105,0.031926870346069336
91,91,1.5290862321853638,1.9703937768936157,0.09498929977416992,0.03151345252990723
92,92,1.5430783033370972,2.0675745010375977,0.06411123275756836,0.03614449501037598
93,93,1.520380973815918,2.069122314453125,0.07819914817810059,0.026067018508911133
94,94,1.5069948434829712,2.0418007373809814,0.0786585807800293,0.03132891654968262
