date,saltfront,saltfront_lb,saltfront_ub
1979-01-01,67.21493000000041,67.19526950698214,67.23459049301867
1979-01-02,68.17010000000062,68.13480777151634,68.2053922284849
1979-01-03,67.68592999999997,67.61033820172645,67.76152179827349
1979-01-04,65.68046000000011,65.59796431469131,65.76295568530891
1979-01-05,65.35826999999999,65.26894319812149,65.44759680187849
1979-01-06,62.45905000000001,62.370012240606904,62.54808775939312
1979-01-07,57.631309999999736,57.5434795685316,57.71914043146787
1979-01-08,60.38833999999975,60.27035025448132,60.50632974551818
1979-01-09,52.70236999999968,52.58957049206633,52.815169507933035
1979-01-10,46.04194999999977,45.95056398370218,46.13333601629736
1979-01-11,46.5046199999998,46.405519222309515,46.60372077769008
1979-01-12,47.87287999999974,47.77464884011896,47.97111115988052
1979-01-13,47.17458999999972,47.08345158706756,47.26572841293188
1979-01-14,51.999899999999705,51.880169210302746,52.119630789696664
1979-01-15,54.65807999999964,54.55331942976057,54.762840570238716
1979-01-16,63.964900000000235,63.87742147969593,64.05237852030454
1979-01-17,67.53338000000035,67.46564124156386,67.60111875843684
1979-01-18,65.16071333333343,65.10329212103596,65.2181345456309
1979-01-19,66.7848720000002,66.73897177847418,66.83077222152623
1979-01-20,67.53148499999989,67.48055543093574,67.58241456906404
1979-01-21,65.8260300000002,65.73987274478844,65.91218725521196
1979-01-22,65.16707999999996,65.0872321192848,65.2469278807151
1979-01-23,63.199090000000055,63.129819871337325,63.268360128662785
1979-01-24,62.82035000000006,62.70345128412968,62.937248715870446
1979-01-25,64.19161000000034,64.09709130282444,64.28612869717624
1979-01-26,66.69355000000012,66.61589910819491,66.77120089180532
1979-01-27,66.49060000000011,66.40006174035487,66.58113825964536
1979-01-28,66.06929000000005,65.99733596209134,66.14124403790876
1979-01-29,64.45970000000013,64.38746215071993,64.53193784928033
1979-01-30,63.78071000000028,63.70598828006843,63.855431719932135
1979-01-31,61.666840000000285,61.59267546264239,61.74100453735818
1979-02-01,60.138470000000225,60.070014609905506,60.206925390094945
1979-02-02,58.317180000000405,58.23740395071953,58.39695604928128
1979-02-03,56.66022000000026,56.574859368433046,56.74558063156747
1979-02-04,60.609870000000264,60.51889433624793,60.700845663752595
1979-02-05,66.69427000000022,66.61015579304666,66.77838420695377
1979-02-06,67.27492000000036,67.2118805715074,67.33795942849333
1979-02-07,66.12789133333347,66.08250283335755,66.17327983330938
1979-02-08,66.10722221568642,66.05865775872591,66.15578667264693
1979-02-09,66.68205744584507,66.64443856196026,66.7196763297299
1979-02-10,66.78786562655317,66.75619611658897,66.81953513651737
1979-02-11,66.59033699816857,66.55812488035689,66.62254911598025
1979-02-12,66.89664308004,66.86665475837464,66.92663140170535
1979-02-13,67.23116466734149,67.2031201685225,67.25920916616047
1979-02-14,67.72111894511906,67.69043603515138,67.75180185508674
1979-02-15,67.32951961178571,67.29817244191439,67.36086678165704
1979-02-16,67.74402852631572,67.7130433704793,67.77501368215214
1979-02-17,67.87940030409342,67.84991946264086,67.90888114554599
1979-02-18,67.48847185964908,67.45878531446604,67.51815840483212
1979-02-19,67.43891685964904,67.40917768783363,67.46865603146445
1979-02-20,67.71309319298248,67.67901242383223,67.74717396213273
1979-02-21,69.15604999999994,69.11666308459218,69.1954369154077
1979-02-22,71.86300999999976,71.81621647061502,71.9098035293845
1979-02-23,72.7077299999998,72.65117643277998,72.76428356721962
1979-02-24,68.98912999999979,68.89422712409821,69.08403287590137
1979-02-25,66.68311000000026,66.57359710220588,66.79262289779463
1979-02-26,65.98822000000057,65.87639029276261,66.10004970723853
1979-02-27,66.77159000000053,66.67557618823224,66.86760381176882
1979-02-28,66.5114000000003,66.41044795840958,66.61235204159101
1979-03-01,66.47964000000026,66.37781509776553,66.58146490223498
1979-03-02,65.40371000000036,65.30454785121353,65.50287214878719
1979-03-03,65.24844000000033,65.15032009601488,65.34655990398578
1979-03-04,65.39314000000039,65.30394649134954,65.48233350865124
1979-03-05,61.29056000000038,61.20560620201906,61.375513797981704
1979-03-06,67.75675000000031,67.65866761200795,67.85483238799267
1979-03-07,64.97777000000018,64.88417632381307,65.07136367618729
1979-03-08,64.45904000000033,64.38037041867868,64.53770958132198
1979-03-09,64.19740000000029,64.11769305306389,64.27710694693668
1979-03-10,65.03305000000027,64.96056298803865,65.1055370119619
1979-03-11,65.28954999999996,65.18663220513419,65.39246779486574
1979-03-12,64.74888999999993,64.66714202036778,64.83063797963209
1979-03-13,65.94675000000004,65.8820584380403,66.01144156195977
1979-03-14,66.09766999999994,66.03974211332692,66.15559788667295
1979-03-15,67.04152000000005,66.98551029019163,67.09752970980847
1979-03-16,66.65876500000019,66.59317456425954,66.72435543574083
1979-03-17,67.1545599999999,67.09344971640851,67.2156702835913
1979-03-18,68.73174000000009,68.67521700331093,68.78826299668924
1979-03-19,67.02719000000059,66.94958876994016,67.10479123006101
1979-03-20,66.65220000000048,66.56587782778622,66.73852217221473
1979-03-21,49.02720800000003,48.902177979509105,49.152238020490955
1979-03-22,50.43597588235224,50.33375510868769,50.53819665601679
1979-03-23,52.52738199999911,52.44200112708266,52.61276287291555
1979-03-24,64.44015799999971,64.35965420770859,64.52066179229084
1979-03-25,65.32820714285705,65.26255504077847,65.39385924493564
1979-03-26,67.07736476190455,67.03937584958702,67.11535367422208
1979-03-27,66.82584628571459,66.7879434991305,66.86374907229867
1979-03-28,65.4576020000001,65.40666076462936,65.50854323537082
1979-03-29,63.07743533333319,63.00327532414214,63.151595342524246
1979-03-30,62.4827053333332,62.41049512373504,62.55491554293136
