date,T_C,T_C_lb,T_C_ub,T_i,T_i_lb,T_i_ub,Tavg_L,T_L,T_L_lb,T_L_ub
1979-01-01,3.2439999999999998,3.233912732724744,3.2540872672752554,2.417050731411129,2.3853154682578848,2.4487859945643735,2.517431285908029,2.9539999999999997,2.948632506899055,2.9593674931009444
1979-01-02,2.9329999999999994,2.921151352836735,2.9448486471632638,2.5064200444937437,2.492167581234987,2.5206725077525003,2.51394193520517,2.9989999999999988,2.994715884804503,3.0032841151954948
1979-01-03,1.446,1.4348089383466003,1.4571910616533996,0.9200426566838377,0.9139003873429021,0.9261849260247732,0.9245228631429276,1.5427857142857158,1.5390890046399515,1.54648242393148
1979-01-04,1.1550000000000002,1.1469030618125478,1.1630969381874527,-0.10700567782977437,-0.1126960965204816,-0.10131525913906714,-0.00858368818979413,0.0,0.0,0.0
1979-01-05,1.2560000000000002,1.2481730314425625,1.263826968557438,0.2184381179387028,0.21015787326398358,0.22671836261342201,0.33789421175948764,0.5447500000000005,0.5419445866143168,0.5475554133856843
1979-01-06,1.35,1.3405474505204118,1.3594525494795884,0.5500465718764156,0.5433591155246926,0.5567340282281386,0.6008018180058814,1.1410000000000011,1.1378338127384915,1.1441661872615108
1979-01-07,1.3550000000000002,1.345204889863521,1.3647951101364795,0.8843145785395771,0.8742203145611205,0.8944088425180337,0.9060009151383863,1.4761333333333326,1.4721737685930314,1.4800928980736339
1979-01-08,1.507,1.4938785537379498,1.52012144626205,0.9095022604516622,0.8885982429622378,0.9304062779410865,0.9398805066521675,1.3782999999999992,1.3743344268858804,1.382265573114118
1979-01-09,1.133,1.1251619521869651,1.1408380478130349,-0.34718197093485675,-0.3525680522237403,-0.3417958896459732,-0.034087071780605896,0.2042903769433181,0.202497548120722,0.20608320576591424
1979-01-10,0.9660000000000001,0.9542383008141371,0.9777616991858631,-0.5841410239744661,-0.5878465949833191,-0.580435452965613,-0.16942362656224022,-0.09699999999999981,-0.09734640552411164,-0.09665359447588798
1979-01-11,0.7210000000000002,0.7147029296078431,0.7272970703921573,-0.9826597004217311,-0.987232842453495,-0.9780865583899673,-0.5670873370604597,0.02972023809523811,0.0287254893576003,0.030714986832875917
1979-01-12,0.7240000000000001,0.7171619052644874,0.7308380947355128,-0.768860229232217,-0.7738290911013955,-0.7638913673630384,-0.39880107078895916,0.03751944444444446,0.036724339958004865,0.038314548930884054
1979-01-13,0.973,0.9625263194032054,0.9834736805967945,-0.07555024900312551,-0.08384387044768439,-0.06725662755856664,0.06210776494316506,0.2992583333333331,0.29663366023326404,0.3018830064334022
1979-01-14,1.7080000000000002,1.700698408731523,1.7153015912684775,-0.16923478815062623,-0.1746410578383659,-0.16382851846288657,-0.05346575044017616,-0.07674999999999989,-0.07739805884695558,-0.0761019411530442
1979-01-15,0.8199999999999998,0.8121466293313598,0.8278533706686398,-0.1883121328911057,-0.19260880994018728,-0.18401545584202414,-0.10984661364417356,-0.046028571428571426,-0.046640231668019706,-0.045416911189123145
1979-01-16,0.8019999999999999,0.7945500852371359,0.809449914762864,-0.12229601850561288,-0.12609875998949874,-0.118493277021727,-0.015118539574708215,0.12221666666666663,0.12087429994068423,0.12355903339264902
1979-01-17,0.884,0.8756123686900011,0.8923876313099989,0.1290030984264706,0.12226470346480606,0.13574149338813513,0.2241218146036433,0.5485999999999995,0.5449407264899707,0.5522592735100283
1979-01-18,0.9029999999999998,0.8919998118738642,0.9140001881261354,-0.2886893687952313,-0.2923594154259821,-0.28501932216448056,-0.11031707695214084,-0.06879047619047615,-0.06930104808956149,-0.06827990429139082
1979-01-19,0.743,0.7352411164209474,0.7507588835790526,-0.4788594614873879,-0.4816908476427199,-0.4760280753320559,-0.28551440031948006,-0.09358333333333317,-0.09399108322578943,-0.09317558344087691
1979-01-20,1.2,1.1873007852806299,1.21269921471937,-0.12163723545838971,-0.1265767417072581,-0.11669772920952133,-0.008329218876245223,0.17744920634920627,0.1755989558202459,0.17929945687816665
1979-01-21,1.7009999999999996,1.6884512179334699,1.7135487820665294,1.5245362569739371,1.5126154986561897,1.5364570152916845,1.5523434545389325,2.1169333333333333,2.1127146479323766,2.12115201873429
1979-01-22,1.653,1.6402907149761532,1.6657092850238469,1.7470889977085022,1.739846244144933,1.7543317512720715,1.7462508916022088,2.1239999999999983,2.120609967612381,2.127390032387616
1979-01-23,1.8670000000000004,1.858075138478691,1.8759248615213098,0.3105335719349986,0.30319734334132703,0.31786980052867014,0.4632745323527433,0.7636666666666675,0.7599818484988063,0.7673514848345286
1979-01-24,1.9629999999999999,1.9511966471212083,1.9748033528787914,1.6014979202639292,1.592167722600888,1.6108281179269706,1.688028519543054,2.0885999999999982,2.086982447095434,2.0902175529045626
1979-01-25,1.9979999999999996,1.9888376755005737,2.007162324499425,1.9898747550223321,1.9789648213100701,2.000784688734594,1.9910190294975687,2.0205714285714285,2.018553212181451,2.022589644961406
1979-01-26,2.099,2.0866211813957025,2.111378818604298,2.201386805879512,2.1871665863130594,2.2156070254459643,2.1777200977234727,2.4869999999999983,2.483619139650423,2.490380860349574
1979-01-27,2.455,2.4490588145684713,2.460941185431529,2.467048521543901,2.4572325545251212,2.476864488562681,2.462469222595135,3.04,3.0355783022100264,3.0444216977899736
1979-01-28,2.0829999999999997,2.076318743989545,2.0896812560104543,2.244128842734443,2.2367502545001154,2.2515074309687706,2.1802014513151597,2.560499999999997,2.5584987865099187,2.5625012134900755
